
[00:00:00.000 --> 00:00:06.780]   [AUDIO OUT]
[00:00:06.780 --> 00:00:07.340]   OK, great.
[00:00:07.340 --> 00:00:10.380]   So the first sort of paper that I'm going to be talking about
[00:00:10.380 --> 00:00:13.540]   is called "Emergent Abilities of Large Language Models."
[00:00:13.540 --> 00:00:15.780]   And this paper was especially cool,
[00:00:15.780 --> 00:00:19.100]   I think, because we got people from Google and DeepMind,
[00:00:19.100 --> 00:00:20.580]   and also Stanford.
[00:00:20.580 --> 00:00:24.360]   You might recognize Percy, or Tatsu, or Rishi.
[00:00:24.360 --> 00:00:25.900]   I mean, we got people to sort of agree
[00:00:25.900 --> 00:00:28.020]   on what's a nice framework of looking
[00:00:28.020 --> 00:00:33.660]   at why we want to scale in emergent abilities.
[00:00:33.660 --> 00:00:38.960]   So one of the things that we've seen throughout language models
[00:00:38.960 --> 00:00:41.140]   is that you sort of get these predictable gains
[00:00:41.140 --> 00:00:42.620]   as a result of scaling.
[00:00:42.620 --> 00:00:45.340]   So here's the canonical Kaplan et al.
[00:00:45.340 --> 00:00:49.380]   paper, where you can see that if you scale up
[00:00:49.380 --> 00:00:52.620]   the size of the language model, measured either in compute,
[00:00:52.620 --> 00:00:55.980]   in data set size, or in parameters,
[00:00:55.980 --> 00:00:59.780]   you see that the loss on the test set
[00:00:59.780 --> 00:01:01.100]   actually goes down predictably.
[00:01:01.100 --> 00:01:01.600]   [INAUDIBLE]
[00:01:01.600 --> 00:01:02.100]   Yeah.
[00:01:02.100 --> 00:01:03.820]   I don't know if you're screen sharing, so people in Zoom,
[00:01:03.820 --> 00:01:05.200]   I don't think, can see the slides.
[00:01:05.200 --> 00:01:05.700]   OK.
[00:01:05.700 --> 00:01:06.460]   Yeah, yeah, yeah.
[00:01:06.460 --> 00:01:07.340]   Sorry, let me fix that.
[00:01:07.340 --> 00:01:07.820]   [INAUDIBLE]
[00:01:07.820 --> 00:01:09.820]   OK.
[00:01:09.820 --> 00:01:11.900]   OK.
[00:01:11.900 --> 00:01:14.980]   I guess I'll say this for the third time.
[00:01:14.980 --> 00:01:17.660]   As we've seen in language models,
[00:01:17.660 --> 00:01:20.100]   if you scale up the size of the language model,
[00:01:20.100 --> 00:01:23.260]   measured either in compute, in data set size,
[00:01:23.260 --> 00:01:24.940]   or in number of parameters, you can
[00:01:24.940 --> 00:01:28.200]   see that there's sort of this predictable improvement
[00:01:28.200 --> 00:01:29.060]   in the test loss.
[00:01:29.060 --> 00:01:34.420]   Now, what I'm going to be talking about in terms
[00:01:34.420 --> 00:01:36.500]   of emergence is something that's actually
[00:01:36.500 --> 00:01:40.780]   unpredictable if you only look at smaller language models.
[00:01:40.780 --> 00:01:44.580]   So one way that emergence has been described in the broader
[00:01:44.580 --> 00:01:46.540]   science literature is it's basically
[00:01:46.540 --> 00:01:49.540]   seen as a qualitative change that arises
[00:01:49.540 --> 00:01:51.540]   from quantitative changes.
[00:01:51.540 --> 00:01:54.260]   It sort of started with this article in Science
[00:01:54.260 --> 00:01:56.580]   by a Nobel Prize winning physicist
[00:01:56.580 --> 00:01:59.340]   called "More is Different."
[00:01:59.340 --> 00:02:03.260]   And I really like this post from Jacob Steindart
[00:02:03.260 --> 00:02:04.780]   that sort of describes emergence.
[00:02:04.780 --> 00:02:08.700]   And he gives a couple of good examples here.
[00:02:08.700 --> 00:02:11.700]   For example, he says, "With a bit of uranium,
[00:02:11.700 --> 00:02:13.460]   nothing special happens.
[00:02:13.460 --> 00:02:15.980]   With a large amount of uranium packed densely enough,
[00:02:15.980 --> 00:02:18.540]   you get a nuclear reaction.
[00:02:18.540 --> 00:02:20.340]   And then also with DNA, for example,
[00:02:20.340 --> 00:02:22.820]   given only small molecules such as calcium,
[00:02:22.820 --> 00:02:25.180]   you can't meaningfully encode useful information.
[00:02:25.180 --> 00:02:28.020]   But given larger models such as DNA, you can encode a genome."
[00:02:28.020 --> 00:02:35.420]   So for this particular work, we use this definition
[00:02:35.420 --> 00:02:38.900]   of emergent abilities of large language models in particular.
[00:02:38.900 --> 00:02:42.100]   So we say that ability is emergent
[00:02:42.100 --> 00:02:44.540]   if it is not present in smaller models,
[00:02:44.540 --> 00:02:47.940]   but it is present in larger models.
[00:02:47.940 --> 00:02:49.780]   And the sort of natural question here
[00:02:49.780 --> 00:02:53.180]   is how do you measure the size or the scale of the language
[00:02:53.180 --> 00:02:54.220]   model?
[00:02:54.220 --> 00:02:56.660]   And there's sort of traditionally three axes
[00:02:56.660 --> 00:02:57.180]   of scale.
[00:02:57.180 --> 00:02:59.740]   So the training flops are the amount of compute
[00:02:59.740 --> 00:03:02.300]   that you use to train the language model,
