
[00:00:00.000 --> 00:00:05.120]   what's going on y'all it's another episode of curious mike i am here with chris brickley um
[00:00:05.120 --> 00:00:09.920]   it's an honor to have you on man you know there's very few people that i feel like their reputation
[00:00:09.920 --> 00:00:17.280]   is you know like yours to where there's nothing bad across the league across friends across people
[00:00:17.280 --> 00:00:21.360]   that work with you that have a negative thing to say about you and you know you're one of the best
[00:00:21.360 --> 00:00:25.520]   trainers in the game so it's an honor to have you on and just chop it up no i appreciate that man
[00:00:25.520 --> 00:00:30.320]   been as you know i've been a fan of your game for years i've been we've been texting back and forth
[00:00:30.320 --> 00:00:35.520]   i've been trying to get you in the gym uh that big fan of the game team puma you know both in the puma
[00:00:35.520 --> 00:00:42.960]   family but uh no thanks for having me yeah no doubt bro so brother like i was just um you know saying
[00:00:42.960 --> 00:00:49.520]   i feel like in your space there's always you know because there's so many trainers that are trying to
[00:00:49.520 --> 00:00:55.040]   you know get in the door with players and things like that so a lot of trainers i feel like have
[00:00:55.520 --> 00:01:00.560]   just good reputations from some people than other people have bad reviews bad reputations i feel like
[00:01:00.560 --> 00:01:05.600]   one of the things about you is there's not a player in the league a player you work with that has a
[00:01:05.600 --> 00:01:13.920]   negative thing to say about you um how did you kind of cultivate that relationship with players to was
[00:01:13.920 --> 00:01:18.240]   it just like are you i feel like you got to be very intentional in that space because that's one of
[00:01:18.240 --> 00:01:23.280]   the things i really admire about you yeah no i first of all i appreciate that you know i've i've done
[00:01:23.280 --> 00:01:29.360]   a bunch of interviews and no one's ever like said that or broken that down so i appreciate that
[00:01:29.360 --> 00:01:34.880]   um i guess yeah i'm very very intentional with who i work with who i give my energy to
[00:01:34.880 --> 00:01:41.840]   uh i feel like i've always been big on you know every relationship either giving energy or you get
[00:01:41.840 --> 00:01:48.720]   energy and i've always been someone where i know my role and it's to give energy to players and to help
[00:01:48.720 --> 00:01:55.600]   players become the best version of themselves and uh so that's always been my role and i've always just
[00:01:55.600 --> 00:02:01.360]   dropped my ego when it comes to that and um so far it's you know it's been good it's been good for me
[00:02:01.360 --> 00:02:08.240]   it's amazing like tracing back early like let's get into the chris brickley story a little bit um
[00:02:08.240 --> 00:02:13.280]   you obviously hoop coming up you know you had a passion for hoop and then what was that like after
[00:02:13.280 --> 00:02:18.160]   high school i i think i read that you tried to walk on somewhere yeah and then from there was it just
[00:02:18.160 --> 00:02:23.600]   right into the training i um i actually had a guest on yesterday who said they knew you towards the
[00:02:23.600 --> 00:02:27.680]   beginning of your journey and they remember there were times where you were in the car like you were
[00:02:27.680 --> 00:02:32.240]   sleeping in the car yeah things like that and really just thugging it out so like those early days when
[00:02:32.240 --> 00:02:38.640]   you decided to transition what was that like yeah so okay so i grew up in new hampshire i hooped went to
[00:02:38.640 --> 00:02:46.560]   northeastern uh small division one school transferred to louisville as a walk-on uh and then at that point
[00:02:46.560 --> 00:02:53.440]   in my life i was like all right no chance of making the nba and i looked up to coach patino i was like damn this
[00:02:53.440 --> 00:03:00.160]   guy lives a great life he drives a cool car has money has a nice watch teaches the game of basketball
[00:03:00.160 --> 00:03:08.560]   also regardless of the reputation he teaches kids life like he was he's the best teacher i've ever had
[00:03:08.560 --> 00:03:12.720]   and so i wanted to be that so i wanted to get into coaching so i was like the youngest division one
