
[00:00:00.040 --> 00:00:19.120]   Hey folks, this is Vivek. I'm super excited to chat with all of y'all. We'll give a quick talk
[00:00:19.120 --> 00:00:24.760]   about what Cohere is all about and we'll make sure we have enough time to chat about your
[00:00:24.760 --> 00:00:30.880]   production challenges with these models or anything you want to chat about. Quick intro,
[00:00:30.880 --> 00:00:38.380]   so we are a leading data security focused enterprise AI company. Our focus is building
[00:00:38.380 --> 00:00:47.440]   trustworthy enterprise AI models with our partners for real-world business use cases and we work with
[00:00:47.440 --> 00:00:54.640]   a lot of like strategics across various clouds and have a bit of a swizzle in play when it
[00:00:54.640 --> 00:01:00.400]   comes to where we can ship and deploy and I'll talk to that a little later. So we have a crack
[00:01:00.400 --> 00:01:08.140]   team of ML researchers and seasoned enterprise operators. Aidan, who's our co-founder and CEO,
[00:01:08.140 --> 00:01:15.420]   was one of the authors on the Seminole Transformer paper. We have Phil, who's our chief scientist. He
[00:01:15.420 --> 00:01:24.520]   was an NLP lead at DeepMind and a professor at Oxford. Nils, who leads a lot of our retrieval efforts, was built as
[00:01:24.520 --> 00:01:37.360]   and then Patrick, who was the co-author on the rag paper, which is a big focus for us at Cohere. Fantastic team that's helping us build lots of amazing things.
[00:01:37.360 --> 00:01:54.400]   Here's a quick overview of our product line. We have two main arcs, the generative side and then the advanced retrieval models. On the generative side, we have two flagship models, which is command R and R+. R is our work cost.
[00:01:54.400 --> 00:02:09.240]   Super low cost model, that's great for most enterprise use cases. And then we have R+, which is your more powerful larger model for more complex like reasoning, tool use, drag use cases.
[00:02:09.240 --> 00:02:29.240]   And on the retrieval side, most people have used some form of an embedding model. And I'll get into that a little later in the talk. But the re-ranker is something special that I haven't seen quite often in the market. But we think it adds a lot of value, especially to our rag pipelines. So we'll get into that too.
[00:02:29.240 --> 00:02:47.780]   So when we build at Cohere, so we have five guiding ethos as to how we want to go about things. The first is, obviously, everybody's testing their models and all sorts of academic benchmarks. But for us, what is really important is the performance on enterprise use cases.
[00:02:48.240 --> 00:03:00.400]   So we've worked with a lot of our partners to ensure that we have an eval suite that is highly customized to enterprise use cases across, let's say, health, HR, finance.
[00:03:00.400 --> 00:03:13.400]   And that's a bit of our goalpost as we ship each of these model versions. And we constantly benchmark on how we're performing at each of these industries and use cases that our customers care about.
[00:03:13.400 --> 00:03:27.400]   And then the next thing is all about efficiency and scalability, right? We're not particularly chasing the race for having the largest model out there. But what we really care about is the practical use of these models, right?
[00:03:27.400 --> 00:03:34.400]   How do these models get used? And how cheap is it? And how easy is it for you to run it as a customer?
[00:03:34.400 --> 00:03:48.400]   The next big thing is, obviously, customization. As much as we'd like for all of these models to work out of the box, there's always a certain niche that customers want to customize this for.
[00:03:48.400 --> 00:04:03.400]   And we offer a variety of things, some of which are pretty intrusive. We've helped our customers with taking our base model and retraining that with their enterprise-specific data for domain adaptation.
[00:04:03.400 --> 00:04:13.400]   We can do a full retraining of the model for you with your data. And then, obviously, the pretty typical last few layers retraining, which is self-serve on our platform.
[00:04:13.400 --> 00:04:28.400]   Data prominence and privacy is another big focus for us. We've worked quite a bit to ensure that all of the data that we've collected for building our models meets up to the enterprise standards.
[00:04:28.400 --> 00:04:41.400]   And we offer indemnification for any IP claims that you might run into as a customer. And then, obviously, we don't ever use any of your data to train our model. So that's a guarantee from us.
[00:04:41.400 --> 00:04:57.400]   And deployment flexibility. As I mentioned, we're available on pretty much every major cloud provider. And then, we also allow you to deploy on-prem or in your own VPC wherever your compute and your data is. That's where we'll meet you at.
[00:04:57.400 --> 00:05:16.400]   Cool. So just a quick look at your typical performance metrics. As I mentioned, something that enterprises repeatedly tell us is they care about multilingual, they care about RAG, and tool use for upcoming agentic use cases.
[00:05:16.400 --> 00:05:29.400]   So a lot of our focus has been in these areas. These are some benchmarks from Hotpot QA, Bamboogle, Berkeley function calling that our models are quite good at.
[00:05:29.400 --> 00:05:46.400]   And another example of how we try to innovate is we try to make sure that as we are building these stacks, we're incorporating all of the features that people care about out of the box and they don't have to do extra work.
[00:05:46.400 --> 00:05:55.400]   Citations on RAG is a great example of this. For most people, you have to do a lot of work to actually build this functionality with other APIs.
[00:05:55.400 --> 00:06:10.400]   But this really comes out of the box with like coherence models and APIs. You don't have to do anything additional as a developer to build, get citations, which is very important for any RAG-based application.
[00:06:10.400 --> 00:06:24.400]   On the multilingual front, we have one of the best performance when it comes to the Flores multilingual evaluation. And we also have a bit of a secret sauce with our tokenizer, which helps keep costs really low.
[00:06:24.400 --> 00:06:41.400]   Right. And that's again, TCO is again a very big thing for enterprises and it allows our customers to take that same model, deploy across the globe on with their customers, which is very important.
[00:06:41.400 --> 00:07:02.400]   So, switching gears towards the embeddings models, again, given Nils and his team have been innovators in this space for a while now, and we've done quite a bit of work to make sure our performance is great on noisy data and at a super low cost in this particular space.
[00:07:02.400 --> 00:07:13.400]   So, we're actually pretty excited about what our embeddings models can do and this is almost always like one of the top things that our customers are excited about.
[00:07:13.400 --> 00:07:26.400]   But embeddings is a pretty complex space and not without its challenge. So, we try to build this like fun demo where we took all of the archive papers and we asked it a question.
[00:07:26.400 --> 00:07:35.400]   When was the attention paper published by Aidan Gomez, who's our founder, and we tried this across like a bunch of like embeddings model.
[00:07:35.400 --> 00:07:43.400]   So, some common patterns that we see is archive is a great example of like where you have different kinds of like data, right?
[00:07:43.400 --> 00:07:55.400]   You have like the title, when was the paper published, the dates, you have the various authors, you have like the actual paper itself, and in many ways this represents the kind of data you might see in enterprises, right?
