
[00:00:00.520 --> 00:00:03.400]   - Scientists think they found the Fountain of Youth.
[00:00:03.400 --> 00:00:06.960]   - What I think will become the cover story on magazines
[00:00:06.960 --> 00:00:09.200]   that humans have discovered the Fountain of Youth,
[00:00:09.200 --> 00:00:12.240]   and this will arise from Yamanaka factor-based
[00:00:12.240 --> 00:00:14.320]   cell reprogramming methods.
[00:00:14.320 --> 00:00:15.720]   - It feels like a piece of technology
[00:00:15.720 --> 00:00:18.280]   that's fallen through a wormhole from the future.
[00:00:18.280 --> 00:00:20.600]   - It does sound a little bit like science fiction.
[00:00:20.600 --> 00:00:23.120]   - The $3 billion investment that was just made in Altos Labs,
[00:00:23.120 --> 00:00:26.400]   which is probably one of the biggest seed investments ever.
[00:00:26.400 --> 00:00:28.400]   - He's made seminal contributions
[00:00:28.400 --> 00:00:31.280]   to understanding stem cell reprogramming.
[00:00:31.280 --> 00:00:33.840]   So at this time, it's my pleasure to introduce
[00:00:33.840 --> 00:00:38.840]   our recipient this year, Juan Carlos Espuccia Belmonte.
[00:00:38.840 --> 00:00:49.080]   - Good afternoon.
[00:00:49.080 --> 00:00:52.000]   My name is Juan Carlos Belmonte.
[00:00:52.000 --> 00:00:55.040]   I'm going to start my participation
[00:00:55.040 --> 00:00:57.920]   with a rather provocative question.
[00:00:57.920 --> 00:01:03.360]   which is: can we rejuvenate an organism?
[00:01:03.360 --> 00:01:09.360]   And if so, what is the implication of that response
[00:01:09.360 --> 00:01:12.240]   for human health, for human disease?
[00:01:12.240 --> 00:01:21.040]   So, the book of our lives is given to us when we are born.
[00:01:21.040 --> 00:01:24.480]   our parent passed as the set of instructions,
[00:01:24.480 --> 00:01:30.480]   these millions and millions of letters that constitute our genome.
[00:01:30.480 --> 00:01:36.480]   And by and large, this is a very solid process.
[00:01:36.480 --> 00:01:39.920]   But every now and then, there are mistakes in these letters.
[00:01:39.920 --> 00:01:45.200]   And they may have importance for our life, or may be relevant.
[00:01:45.200 --> 00:01:46.640]   - let me give you an example.
[00:01:46.640 --> 00:01:47.760]   Let me give you an example.
[00:01:47.760 --> 00:01:53.680]   For instance, you change in this case a "C" to a "T".
[00:01:53.680 --> 00:01:59.120]   You are going to have a phenotype that is depicted here.
[00:01:59.120 --> 00:02:03.760]   These kids, they are in the picture between six and ten years old,
[00:02:03.760 --> 00:02:06.160]   but they look much older.
[00:02:06.160 --> 00:02:08.640]   They are really old.
[00:02:08.640 --> 00:02:12.800]   And they are not going to pass their teenage age.
[00:02:12.800 --> 00:02:18.080]   And just because of this small mutation, a "C" into a "T".
[00:02:18.080 --> 00:02:22.000]   Now, fortunately, in the last few years,
[00:02:22.000 --> 00:02:29.760]   we scientists have developed methods by which we can reverse that change.
[00:02:29.760 --> 00:02:32.160]   We can fix that mistake.
[00:02:32.160 --> 00:02:35.680]   And for instance, we have models in the lab.
[00:02:35.680 --> 00:02:38.240]   We have animal models in this case.
[00:02:38.240 --> 00:02:42.080]   It is a mouse where we have created the same mutation.
[00:02:43.200 --> 00:02:44.400]   the "C" into a "T".
[00:02:44.400 --> 00:02:48.960]   And this mouse, a lab mouse lives for about two years.
[00:02:48.960 --> 00:02:55.200]   This mouse will live just for a couple of months, three, four months maximum.
[00:02:55.200 --> 00:02:58.960]   And it will have the same accelerated aging process of the human.
[00:02:58.960 --> 00:03:01.280]   But we can fix this.
[00:03:01.280 --> 00:03:06.480]   We can change this "T" back into a "C" and we get this mouse.
[00:03:06.480 --> 00:03:09.840]   Which has nothing to do with the previous mouse.
[00:03:09.840 --> 00:03:16.320]   It's healthier, lives longer, and is able to regenerate some of their tissues
[00:03:16.320 --> 00:03:17.760]   that before it couldn't do it.
[00:03:17.760 --> 00:03:24.480]   The problem, as I was indicating before, is that
[00:03:24.480 --> 00:03:32.240]   this is a very small percentage of the mistakes that happen in our life.
[00:03:33.280 --> 00:03:39.440]   by and large, this is less than 1% there is mistakes that generate diseases like this.
[00:03:39.440 --> 00:03:46.800]   By and large, we have many other diseases that are not due to a mutation in our genome.
[00:03:46.800 --> 00:03:54.480]   And if we look at this graphic that represents age and the possibility of death,
[00:03:56.080 --> 00:04:00.800]   you can see that after a certain number of years, around 40-45,
[00:04:00.800 --> 00:04:09.600]   the major risk factor for getting any disease is precisely that: years, age.
[00:04:09.600 --> 00:04:16.560]   So, the longer we live, the increased risk to get disease.
