
[00:00:00.000 --> 00:00:00.840]   [upbeat music]
[00:00:00.840 --> 00:00:02.260]   - Welcome to the Huberman Lab Podcast,
[00:00:02.260 --> 00:00:04.900]   where we discuss science and science-based tools
[00:00:04.900 --> 00:00:05.920]   for everyday life.
[00:00:05.920 --> 00:00:10.040]   I'm Andrew Huberman,
[00:00:10.040 --> 00:00:12.820]   and I'm a professor of neurobiology and ophthalmology
[00:00:12.820 --> 00:00:14.620]   at Stanford School of Medicine.
[00:00:14.620 --> 00:00:18.200]   Today is an Ask Me Anything or AMA episode,
[00:00:18.200 --> 00:00:20.860]   which is part of our premium subscriber content.
[00:00:20.860 --> 00:00:23.360]   Our premium channel was launched in order to raise support
[00:00:23.360 --> 00:00:25.640]   for the standard Huberman Lab Podcast channel,
[00:00:25.640 --> 00:00:28.180]   which still comes out once a week, every Monday,
[00:00:28.180 --> 00:00:30.460]   and of course is zero cost to consumer.
[00:00:30.460 --> 00:00:32.180]   The premium channel is also designed
[00:00:32.180 --> 00:00:34.280]   to support exciting research being done
[00:00:34.280 --> 00:00:36.940]   at major universities like Stanford and elsewhere,
[00:00:36.940 --> 00:00:38.960]   research that's done on humans that should lead
[00:00:38.960 --> 00:00:41.280]   to protocols for mental health, physical health,
[00:00:41.280 --> 00:00:44.000]   and performance in the near future.
[00:00:44.000 --> 00:00:45.080]   If you'd like to check out
[00:00:45.080 --> 00:00:46.500]   the premium channel subscription model,
[00:00:46.500 --> 00:00:49.160]   you can go to HubermanLab.com/premium,
[00:00:49.160 --> 00:00:51.480]   and there you can subscribe for $10 a month
[00:00:51.480 --> 00:00:52.340]   or $100 a year.
[00:00:52.340 --> 00:00:54.540]   We also have a lifetime subscriber option.
[00:00:54.540 --> 00:00:56.560]   For those of you that are already Huberman Lab Podcast
[00:00:56.560 --> 00:00:59.840]   premium subscribers, and you're watching and/or hearing this,
[00:00:59.840 --> 00:01:02.600]   please go to HubermanLab.com/premium
[00:01:02.600 --> 00:01:05.120]   and download the premium podcast feed.
[00:01:05.120 --> 00:01:06.800]   And for those of you that are not already
[00:01:06.800 --> 00:01:09.140]   Huberman Lab premium podcast subscribers,
[00:01:09.140 --> 00:01:11.760]   you will be able to hear the first 15 minutes or so
[00:01:11.760 --> 00:01:13.500]   of this episode, and hopefully that will allow you
[00:01:13.500 --> 00:01:15.040]   to discern whether or not you would like
[00:01:15.040 --> 00:01:16.780]   to become a premium subscriber.
[00:01:16.780 --> 00:01:19.760]   Without further ado, let's get to answering your questions.
[00:01:19.760 --> 00:01:22.720]   And as always, I will strive to be as accurate as possible,
[00:01:22.720 --> 00:01:27.120]   as thorough as possible, and yet as concise as possible.
[00:01:27.120 --> 00:01:29.840]   The first question today is about adaptogens.
[00:01:29.840 --> 00:01:32.020]   Some of you may have heard of adaptogens.
[00:01:32.020 --> 00:01:34.940]   I'm guessing many of you have not heard of adaptogens.
[00:01:34.940 --> 00:01:37.560]   The strict definition of adaptogens is still evolving,
[00:01:37.560 --> 00:01:40.540]   meaning no one really knows what adaptogens mean
[00:01:40.540 --> 00:01:42.560]   and what's included in adaptogens
[00:01:42.560 --> 00:01:44.800]   and what's excluded from adaptogens.
[00:01:44.800 --> 00:01:49.100]   But the most common definition of an adaptogen is a compound
[00:01:49.100 --> 00:01:51.880]   that is typically a supplement or a drug,
[00:01:51.880 --> 00:01:53.280]   although it could be a behavior,
[00:01:53.280 --> 00:01:54.680]   if you really think about it,
[00:01:54.680 --> 00:01:58.440]   that helps you adapt to and buffer stress.
[00:01:58.440 --> 00:02:00.440]   So when you hear about adaptogens,
[00:02:00.440 --> 00:02:02.700]   there are three main categories of adaptogens
[00:02:02.700 --> 00:02:03.880]   that come to mind.
[00:02:03.880 --> 00:02:07.000]   The first are things that are contained in food.
[00:02:07.000 --> 00:02:09.400]   So these would be vitamins or micronutrients
[00:02:09.400 --> 00:02:11.800]   that one could easily find in food,
[00:02:11.800 --> 00:02:16.240]   but one would have to consume a fairly restricted number
[00:02:16.240 --> 00:02:18.760]   or type of foods in order to obtain those things,
[00:02:18.760 --> 00:02:20.600]   or consume a lot of those foods
[00:02:20.600 --> 00:02:23.160]   in order to get sufficient dosages
[00:02:23.160 --> 00:02:27.120]   of those adaptogen compounds in order to buffer stress.
[00:02:27.120 --> 00:02:30.360]   Some good examples of these would be any kind of vitamin,
[00:02:30.360 --> 00:02:34.600]   either water-soluble or fat-soluble that can adjust
[00:02:34.600 --> 00:02:38.400]   or reduce what are so-called reactive oxygen species.
[00:02:38.400 --> 00:02:40.080]   And then that's what gives rise to this idea
[00:02:40.080 --> 00:02:42.520]   that antioxidants are good for us.
[00:02:42.520 --> 00:02:44.840]   Now, over the last 10 years or so, there's been a shift.
[00:02:44.840 --> 00:02:45.840]   What shift has occurred?
[00:02:45.840 --> 00:02:47.880]   Well, about 10 years ago,
[00:02:47.880 --> 00:02:50.600]   you often heard about antioxidants, antioxidants,
[00:02:50.600 --> 00:02:51.620]   antioxidants and vitamins,
[00:02:51.620 --> 00:02:54.840]   antioxidants in this food, this superfood, et cetera.
[00:02:54.840 --> 00:02:57.120]   And why were people talking about antioxidants?
[00:02:57.120 --> 00:03:01.560]   Well, just to remind you, reactive oxygen species
[00:03:01.560 --> 00:03:05.960]   are types of reactions and molecules that occur in cells
[00:03:05.960 --> 00:03:08.800]   when cells get stressed and/or age,
[00:03:08.800 --> 00:03:10.920]   and antioxidants are the compounds
[00:03:10.920 --> 00:03:14.080]   that reduce those reactive oxygen species.
[00:03:14.080 --> 00:03:16.360]   Reactive oxygen species are bad for cells
[00:03:16.360 --> 00:03:19.140]   because they tend to hinder the function of mitochondria,
[00:03:19.140 --> 00:03:22.000]   which are associated with energy production in those cells.
[00:03:22.000 --> 00:03:23.440]   So what do we know for sure?
[00:03:23.440 --> 00:03:25.800]   We know that as cells get older
[00:03:25.800 --> 00:03:28.120]   or as any cell or biological system,
[00:03:28.120 --> 00:03:32.400]   organ, tissue, et cetera, gets stressed a lot over time,
[00:03:32.400 --> 00:03:35.160]   the number of reactive oxygen species
[00:03:35.160 --> 00:03:37.800]   increases in those cells and tissues and organs,
[00:03:37.800 --> 00:03:41.560]   and antioxidants, which can include certain vitamins
[00:03:41.560 --> 00:03:43.640]   but also some micronutrients,
[00:03:43.640 --> 00:03:47.140]   are effective in reducing those reactive oxygen species.
[00:03:47.140 --> 00:03:48.680]   Now, what's occurred over the last 10 years
[00:03:48.680 --> 00:03:50.640]   is that we know that reactive oxygen species
[00:03:50.640 --> 00:03:54.320]   are a major source of depleting cellular function
[00:03:54.320 --> 00:03:56.480]   by way of depleting mitochondrial function,
[00:03:56.480 --> 00:03:59.360]   but they are just one of many mechanisms
[00:03:59.360 --> 00:04:02.300]   that can deplete cellular function, mitochondrial function.
[00:04:02.300 --> 00:04:05.240]   So nowadays, you'll hear about reactive oxygen species
[00:04:05.240 --> 00:04:07.920]   and antioxidants, but not as much as you used to.
[00:04:07.920 --> 00:04:10.980]   Now you hear a lot more about inflammatory responses,
[00:04:10.980 --> 00:04:13.280]   and inflammatory cytokines also be an issue.
[00:04:13.280 --> 00:04:15.900]   And the truth is all of these things are an issue.
[00:04:15.900 --> 00:04:18.760]   So going back to this question about adaptogens,
[00:04:18.760 --> 00:04:21.160]   adaptogens include these three categories,
[00:04:21.160 --> 00:04:22.000]   I've told you the first,
[00:04:22.000 --> 00:04:24.400]   which are the vitamins and micronutrients
[00:04:24.400 --> 00:04:26.600]   that are contained in food
[00:04:26.600 --> 00:04:29.500]   that can reduce reactive oxygen species
[00:04:29.500 --> 00:04:31.880]   and other aspects of cellular stress,
[00:04:31.880 --> 00:04:33.500]   such as inflammatory cytokines.
[00:04:33.500 --> 00:04:35.800]   What are some of those things that occur in foods?
[00:04:35.800 --> 00:04:37.680]   Well, in order to answer that,
[00:04:37.680 --> 00:04:40.000]   let's just think about what sorts of foods themselves
[00:04:40.000 --> 00:04:41.680]   can act as adaptogens.
[00:04:42.760 --> 00:04:47.320]   It's commonly held that the dark leafy greens type foods,
[00:04:47.320 --> 00:04:48.440]   for those of you that eat plants,
[00:04:48.440 --> 00:04:50.460]   and I think the majority of people out there do eat plants.
[00:04:50.460 --> 00:04:52.620]   I know that the carnivore diet and lion diet
[00:04:52.620 --> 00:04:55.960]   and some other diets tend to exclude plants.
[00:04:55.960 --> 00:04:58.880]   We'll address that briefly at some point
[00:04:58.880 --> 00:04:59.760]   in today's discussion.
[00:04:59.760 --> 00:05:02.240]   But dark leafy greens are known to contain
[00:05:02.240 --> 00:05:05.440]   a number of compounds in the form of vitamins
[00:05:05.440 --> 00:05:07.760]   and micronutrients that are very effective
[00:05:07.760 --> 00:05:10.680]   in reducing reactive oxygen species
[00:05:10.680 --> 00:05:12.700]   and inflammatory cytokines.
[00:05:12.700 --> 00:05:15.480]   So if you're somebody who's interested in adaptogens
[00:05:15.480 --> 00:05:17.160]   and adaptogenic processes,
[00:05:17.160 --> 00:05:19.560]   reducing stress and buffering stress,
[00:05:19.560 --> 00:05:22.620]   which of course has its role in buffering daily stress
[00:05:22.620 --> 00:05:23.820]   in order to help you sleep better,
[00:05:23.820 --> 00:05:25.820]   to improve cellular function for longevity,
[00:05:25.820 --> 00:05:27.920]   sports performance, cognitive performance,
[00:05:27.920 --> 00:05:29.340]   that is all good and it makes sense
[00:05:29.340 --> 00:05:30.960]   why people would be interested in adaptogens.
[00:05:30.960 --> 00:05:34.040]   But remember that the two main adaptogens
[00:05:34.040 --> 00:05:36.160]   that you should think to first
[00:05:36.160 --> 00:05:38.100]   are going to be behaviors and nutrition.
[00:05:38.100 --> 00:05:40.400]   I've started with nutrition on purpose.
[00:05:40.400 --> 00:05:42.260]   As I mentioned, we'll get to behaviors in a moment.
[00:05:42.260 --> 00:05:44.240]   So if you're interested in adaptogens at all,
[00:05:44.240 --> 00:05:46.240]   I highly recommend that you include
[00:05:46.240 --> 00:05:49.520]   at least two to four servings of dark leafy greens
[00:05:49.520 --> 00:05:51.960]   and/or cruciferous vegetables per day.
[00:05:51.960 --> 00:05:53.960]   I think that'd be highly advantageous.
[00:05:53.960 --> 00:05:56.800]   And just be aware that excessively heating
[00:05:56.800 --> 00:05:58.920]   dark leafy greens or cruciferous vegetables
[00:05:58.920 --> 00:06:01.680]   can actually destroy the very nutrients and micronutrients
[00:06:01.680 --> 00:06:03.580]   that act in an adaptogenic way.
[00:06:03.580 --> 00:06:05.680]   That does not mean that you need to eat raw broccoli
[00:06:05.680 --> 00:06:06.600]   or cauliflower.
[00:06:06.600 --> 00:06:08.160]   Just the thought of that makes me nauseous.
[00:06:08.160 --> 00:06:09.160]   It's very hard to digest.
[00:06:09.160 --> 00:06:12.300]   Some people might like that or can digest it more easily
[00:06:12.300 --> 00:06:13.140]   than others.
