
[00:00:00.000 --> 00:00:04.560]   All right, thank you so much for joining us today.
[00:00:04.560 --> 00:00:09.720]   Today, I'm very honored to welcome Syek Paul from Hugging Face,
[00:00:09.720 --> 00:00:15.760]   who works a lot on diffusion models, image generation, and so forth.
[00:00:15.760 --> 00:00:21.560]   So his day-to-day includes contributing to diffusers, diffusers library,
[00:00:21.560 --> 00:00:26.560]   training and babysitting diffusion models, and working on applied ideas.
[00:00:26.560 --> 00:00:30.560]   He's interested in subject-driven generation, preference alignment,
[00:00:30.560 --> 00:00:33.040]   and evaluation of diffusion models.
[00:00:33.040 --> 00:00:36.800]   And when he's not working, he can be found playing the guitar
[00:00:36.800 --> 00:00:40.560]   and binge-watching ICML tutorials and suits.
[00:00:40.560 --> 00:00:43.920]   So without further ado, I'll hand it off to Syek.
[00:00:43.920 --> 00:00:50.040]   I guess I'm here to depart and deviate from the usual theme that's followed at CS25.
[00:00:50.040 --> 00:00:55.280]   It's not a lot about visual modality, especially the generative aspects of them.
[00:00:55.280 --> 00:00:59.040]   So I guess I'm happy in a way that I'm here to depart and deviate from that theme.
[00:00:59.040 --> 00:01:01.760]   So, yeah.
[00:01:01.760 --> 00:01:05.760]   I wanted to start with a couple of disclaimers.
[00:01:05.760 --> 00:01:11.760]   And this talk is definitely not going to be an exhaustive overview of all the possible methods.
[00:01:11.760 --> 00:01:18.800]   So it might be the case that I didn't cover your work, which you thought to be very seminal.
[00:01:18.800 --> 00:01:20.880]   So I apologize in advance.
[00:01:20.880 --> 00:01:25.280]   And then I'm not going to cover what is diffusion or flow matching in details,
[00:01:25.280 --> 00:01:29.840]   but I'll give a very quick overview just to set the context and tone.
[00:01:29.840 --> 00:01:36.640]   And then the architectures I'll discuss today will be fairly agnostic to diffusion or flow matching.
[00:01:37.680 --> 00:01:42.800]   And since I work on image and videos primarily, I will take my examples with images.
[00:01:42.800 --> 00:01:51.600]   But just know that these architectures are fairly well known to generalize to other continuous modalities such as audios.
[00:01:51.600 --> 00:01:55.440]   And then, of course, I'll share my slide after the talk.
