
[00:00:00.000 --> 00:00:03.880]   [MUSIC PLAYING]
[00:00:03.880 --> 00:00:04.960]   Hi, everyone.
[00:00:04.960 --> 00:00:07.160]   We are Deployed team.
[00:00:07.160 --> 00:00:09.760]   We will tell you about large language modeling
[00:00:09.760 --> 00:00:13.080]   for text-to-image models and about
[00:00:13.080 --> 00:00:16.560]   if deployed, if new text-to-image diffusion
[00:00:16.560 --> 00:00:19.720]   model that will be open source very soon.
[00:00:19.720 --> 00:00:23.200]   And we're happy to say it's a new state-of-the-art model
[00:00:23.200 --> 00:00:24.880]   for text-to-image.
[00:00:24.880 --> 00:00:28.640]   And first of all, I want to tell about our team.
[00:00:28.640 --> 00:00:34.160]   We're working as a research lab as a part of Stability Eye.
[00:00:34.160 --> 00:00:37.880]   Here, Daria, she is a senior researcher.
[00:00:37.880 --> 00:00:44.440]   And Alex is one of the main guys who are behind IF model.
[00:00:44.440 --> 00:00:47.760]   Also me, team lead of Deployed Lab,
[00:00:47.760 --> 00:00:51.120]   and Ksenia, our data scientist.
[00:00:51.120 --> 00:00:54.920]   So first of all, we are talking about large language models.
[00:00:54.920 --> 00:00:56.320]   But they are language models.
[00:00:56.320 --> 00:01:01.160]   So why should we talk about them in context of text-to-image?
[00:01:01.160 --> 00:01:03.080]   So the question is very interesting
[00:01:03.080 --> 00:01:06.840]   because nowadays everyone know about DALI 2
[00:01:06.840 --> 00:01:09.960]   and especially about stable diffusion, the most popular
[00:01:09.960 --> 00:01:12.160]   text-to-image model ever.
[00:01:12.160 --> 00:01:17.000]   One of the greatest things that we have in the open source.
[00:01:17.000 --> 00:01:20.520]   And I don't want to spend time about telling you what is it.
[00:01:20.520 --> 00:01:24.680]   But it's a diffusion model that can convert the text
[00:01:24.680 --> 00:01:29.320]   to the image in several seconds on almost any PC and laptops
[00:01:29.320 --> 00:01:31.160]   and maybe mobile phone.
[00:01:31.160 --> 00:01:32.760]   So it's very popular nowadays.
[00:01:32.760 --> 00:01:37.760]   And one of the things that people maybe not
[00:01:37.760 --> 00:01:41.760]   talk a lot about is that it consists of several parts.
[00:01:41.760 --> 00:01:44.560]   And the language model inside is a huge part
[00:01:44.560 --> 00:01:46.480]   of the stable diffusion model.
[00:01:46.480 --> 00:01:50.000]   So I will tell you briefly about DALI 2.
[00:01:50.000 --> 00:01:53.600]   It's one of the first popular text-to-image model
[00:01:53.600 --> 00:01:56.800]   that blow the people's mind.
[00:01:56.800 --> 00:02:00.040]   And it can generate almost anything, not just avocado
[00:02:00.040 --> 00:02:04.160]   on chair, but maybe some complex scenes, for example,
[00:02:04.160 --> 00:02:07.880]   dog playing the trumpet in a jazz band, et cetera.
[00:02:07.880 --> 00:02:13.000]   So if you see the paper and you look at the images,
[00:02:13.000 --> 00:02:15.880]   you see, OK, this is a huge scheme
[00:02:15.880 --> 00:02:18.160]   that describe how DALI 2 works.
[00:02:18.160 --> 00:02:22.240]   But it starts from the text, a Corby playing a trumpet.
[00:02:22.240 --> 00:02:25.400]   So this text is converted to some embedding space
[00:02:25.400 --> 00:02:26.720]   using text encoder.
[00:02:26.720 --> 00:02:30.120]   And the text encoder is the language model
[00:02:30.120 --> 00:02:32.920]   what we are talking about now.
[00:02:32.920 --> 00:02:35.280]   And this is a frozen language model
[00:02:35.280 --> 00:02:40.560]   that are not trained during the DALI 2 training phase.
[00:02:40.560 --> 00:02:45.040]   I mean that this is text clip tower that
[00:02:45.040 --> 00:02:47.800]   have been trained before trained DALI 2.
[00:02:47.800 --> 00:02:51.120]   And it can convert this text to some embedding space.
[00:02:51.120 --> 00:02:55.040]   And after that, DALI 2 approach use the prior
[00:02:55.040 --> 00:02:58.960]   to move this vector to the image embedding space.
[00:02:58.960 --> 00:03:04.920]   And after that, unclip it to the low-resolution pixel space.
[00:03:04.920 --> 00:03:07.880]   So Stable Diffusion, this network
[00:03:07.880 --> 00:03:12.000]   that have been done by Robin and his team
[00:03:12.000 --> 00:03:16.560]   as a part of Stability AI, is a very popular network nowadays.
[00:03:16.560 --> 00:03:19.960]   And it also has a very complex scheme,
[00:03:19.960 --> 00:03:21.240]   maybe not the best one.
[00:03:21.240 --> 00:03:25.760]   But you can see this is the frozen clip part here too.
[00:03:25.760 --> 00:03:26.600]   What does it mean?
[00:03:26.600 --> 00:03:33.120]   It means that as same as DALI 2 have the frozen text encoder,
[00:03:33.120 --> 00:03:38.040]   Stable Diffusion also have the frozen text encoder.
[00:03:38.040 --> 00:03:41.440]   But it doesn't make this kind of mapping
[00:03:41.440 --> 00:03:45.120]   from language embedding space to image embedding space.
[00:03:45.120 --> 00:03:48.280]   But it still have this frozen text encoder.
[00:03:48.280 --> 00:03:53.280]   And this information comes from text to embedding space.
[00:03:53.280 --> 00:03:57.000]   And after that, this information fuse through cross attention
[00:03:57.000 --> 00:03:59.040]   to the unit.
[00:03:59.040 --> 00:04:01.520]   And there the magic begins.
[00:04:01.520 --> 00:04:04.520]   So the diffusion in the latent space
[00:04:04.520 --> 00:04:07.760]   and then decoding backward to the pixel space.
[00:04:07.760 --> 00:04:13.560]   The interesting part here that this is frozen clip model
[00:04:13.560 --> 00:04:18.960]   without prior that converts or map the text embedding
[00:04:18.960 --> 00:04:20.200]   to image embedding.
[00:04:20.200 --> 00:04:24.280]   So this idea initially comes from ImageN,
[00:04:24.280 --> 00:04:27.040]   the network we will tell you now.
[00:04:27.040 --> 00:04:32.080]   It's obvious that there are some pros in using a clip
[00:04:32.080 --> 00:04:36.320]   as a text encoder because Clip was training
[00:04:36.320 --> 00:04:40.000]   using text image pairs.
[00:04:40.000 --> 00:04:44.960]   And obviously, it contains some visual features
[00:04:44.960 --> 00:04:48.480]   inside its text embeddings.
[00:04:48.480 --> 00:04:53.520]   But there are also some cons with this approach
[00:04:53.520 --> 00:04:59.040]   because actually parallel text image corpora,
[00:04:59.040 --> 00:05:03.040]   they're not so big as, for example,
[00:05:03.040 --> 00:05:09.440]   corpora on which large language models are trained on.
[00:05:09.440 --> 00:05:15.760]   So there is another idea with the model called ImageN.
