
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.580]   ♪ Podcast, we dive right in ♪
[00:00:07.580 --> 00:00:12.760]   ♪ Exploring the world, the guts where new begins begin ♪
[00:00:12.760 --> 00:00:19.180]   ♪ David Luan, the founder ♪
[00:00:19.180 --> 00:00:23.160]   ♪ A visionary in his own right ♪
[00:00:23.160 --> 00:00:26.900]   ♪ Building autonomous agents ♪
[00:00:26.900 --> 00:00:32.040]   ♪ Taking us to new heights, yeah ♪
[00:00:32.040 --> 00:00:34.480]   - Hey everyone, welcome to the Latent Space Podcast.
[00:00:34.480 --> 00:00:36.280]   This is Alessio, partner and CTO
[00:00:36.280 --> 00:00:37.720]   of Residence at Decibel Partners,
[00:00:37.720 --> 00:00:39.560]   and I'm joined by my co-host, Swiggs,
[00:00:39.560 --> 00:00:40.840]   founder of Small.ai.
[00:00:40.840 --> 00:00:42.840]   - Hey, and today we have David Luan,
[00:00:42.840 --> 00:00:45.400]   CEO, co-founder of ADEPT in the studio, welcome.
[00:00:45.400 --> 00:00:46.320]   - Yeah, thanks for having me.
[00:00:46.320 --> 00:00:47.340]   - Been a while in the works,
[00:00:47.340 --> 00:00:50.560]   I met you socially at one of those VC events,
[00:00:50.560 --> 00:00:52.640]   and you said that you were interested in coming on,
[00:00:52.640 --> 00:00:54.680]   and glad we finally were able to make this happen.
[00:00:54.680 --> 00:00:57.000]   - Yeah, happy to be a part of it.
[00:00:57.000 --> 00:01:00.360]   - So we like to introduce the speaker,
[00:01:00.360 --> 00:01:02.440]   and then also just have you talk a little bit
[00:01:02.440 --> 00:01:03.800]   about what's not on your LinkedIn,
[00:01:03.800 --> 00:01:06.560]   what people should just generally know about you.
[00:01:06.560 --> 00:01:08.840]   You started a company in college,
[00:01:08.840 --> 00:01:10.800]   which was the first real-time
[00:01:10.800 --> 00:01:15.480]   video detection classification API that was Dextro,
[00:01:15.480 --> 00:01:18.200]   and that was your route to getting acquired into Axon,
[00:01:18.200 --> 00:01:20.180]   where you were director of AI.
[00:01:20.180 --> 00:01:23.840]   Then you were the 30th hire at OpenAI?
[00:01:23.840 --> 00:01:25.880]   - Yeah, 30, 35, something around there.
[00:01:25.880 --> 00:01:27.520]   - Something like that.
[00:01:27.520 --> 00:01:31.520]   VP of Eng for two and a half years, two years and a bit,
[00:01:31.520 --> 00:01:36.520]   briefly served as tech lead of large models at Google,
[00:01:36.520 --> 00:01:40.360]   and then in 2022 started ADEPT.
[00:01:40.360 --> 00:01:42.780]   So that's the sort of brief CV.
