
[00:00:00.000 --> 00:00:04.000]   [Music]
[00:00:04.000 --> 00:00:10.000]   Well, prolonged singleness raises some pretty deep questions and personal insecurities.
[00:00:10.000 --> 00:00:15.000]   As we've seen an email question today from a female listener to the podcast whose name is Rebecca.
[00:00:15.000 --> 00:00:20.000]   "Pastor John, to be married is in a sense to be cherished.
[00:00:20.000 --> 00:00:24.000]   The New Testament talks about cherishing within a marriage.
[00:00:24.000 --> 00:00:28.000]   So if I cannot get married and my singleness persists,
[00:00:28.000 --> 00:00:33.000]   does that mean that God made me to be less cherishable?"
[00:00:33.000 --> 00:00:36.000]   Pastor John, what would you say to Rebecca?
[00:00:36.000 --> 00:00:44.000]   Let me see if I can say something helpful and true and encouraging to Rebecca.
[00:00:44.000 --> 00:00:55.000]   First, by distinguishing between not being cherished and not being cherishable.
[00:00:55.000 --> 00:01:06.000]   She's right that Paul describes one of the aspects of husband's love as cherishing a wife, Ephesians 5:29.
[00:01:06.000 --> 00:01:11.000]   He says, "In the same way, husbands should love their wives as their own bodies.
[00:01:11.000 --> 00:01:17.000]   He who loves his wife loves himself, for no one ever hated his own flesh,
[00:01:17.000 --> 00:01:24.000]   but nourishes and cherishes it, just as Christ does the church."
[00:01:24.000 --> 00:01:35.000]   So, I want to be realistic and empathetic with Rebecca in agreeing that not to be married means
[00:01:35.000 --> 00:01:46.000]   that there are kinds of experiences that are unique to the marital relationships which she will not have.
[00:01:46.000 --> 00:01:56.000]   She's putting her finger on one of them, namely, there is a unique kind of cherishing that happens between a husband and a wife
[00:01:56.000 --> 00:02:01.000]   that happens nowhere else in the world among human beings except in marriage.
[00:02:01.000 --> 00:02:12.000]   It's part of what marriage is, and if we are not married, we don't taste that peculiar kind of human cherishing.
[00:02:12.000 --> 00:02:17.000]   So, that's what I mean by the phrase "not being cherished."
[00:02:17.000 --> 00:02:19.000]   That's true. That happens.
[00:02:19.000 --> 00:02:33.000]   But not being cherished in the unique way that a husband cherishes a wife is not the same as not being cherishable.
[00:02:33.000 --> 00:02:47.000]   Any more than not being hungry is the same as not being fed, or not being brave is the same as not being commissioned for battle,
[00:02:47.000 --> 00:03:01.000]   or not being competent is the same as not being employed, or not being pretty is the same as not being noticed.
[00:03:01.000 --> 00:03:14.000]   The difference in all these pairs is that being hungry or brave or competent or pretty or cherishable are real,
[00:03:14.000 --> 00:03:25.000]   objective, undeniable, important traits about a person whether anybody else recognizes them or commends them
[00:03:25.000 --> 00:03:36.000]   or responds to them or embraces them or not, which means that if a hungry man is not fed, he's still hungry.
[00:03:36.000 --> 00:03:42.000]   And if a brave man is not commissioned for battle, he's still brave.
[00:03:42.000 --> 00:03:49.000]   And if a competent person is not employed, he or she is still competent.
[00:03:49.000 --> 00:03:55.000]   And if a pretty girl is not noticed, she's still pretty.
[00:03:55.000 --> 00:04:08.000]   And if a cherishable single woman is not cherished in marriage, she's still cherishable, which I think might lead Rebecca to ask this.
[00:04:08.000 --> 00:04:15.000]   Why wouldn't then a hungry person be fed? Why wouldn't a brave man be commissioned in battle?
[00:04:15.000 --> 00:04:20.000]   Why wouldn't a competent person be employed? Why wouldn't a pretty girl be noticed?
[00:04:20.000 --> 00:04:25.000]   And why wouldn't a cherishable single woman be married and cherished?
[00:04:25.000 --> 00:04:32.000]   And in answer to those questions, surely we must finally say with the psalmist,
[00:04:32.000 --> 00:04:42.000]   "Your righteousness is like the mountains of God. Your judgments are like the great deep." Psalm 36, verse 6.
[00:04:42.000 --> 00:04:55.000]   In other words, the ways of God are higher, mountain high, like the unapproachable Alps, and deeper than the unfathomable ocean.
[00:04:55.000 --> 00:05:02.000]   Why does this hungry man get fed and not that one? Why does this brave man go to war and not that one?
[00:05:02.000 --> 00:05:06.000]   Why does this competent person get employed and not that one?
[00:05:06.000 --> 00:05:13.000]   Why does this cherishable woman find a husband and not that one?
[00:05:13.000 --> 00:05:18.000]   God's judgments are a great deep.
[00:05:18.000 --> 00:05:24.000]   But even though God does not answer that particular question,
