
[00:00:00.000 --> 00:00:21.120]   Hi everyone. Thanks for that welcome. As you just heard, my name is James Lowe. I'm head of AI
[00:00:21.120 --> 00:00:27.880]   engineering at the incubator for AI. We're a small team of experts in the UK government. We were
[00:00:27.880 --> 00:00:33.760]   created by 10 Downing Street to deliver public good using AI and we do that via
[00:00:33.760 --> 00:00:40.780]   experimentation and product building. The UK government delivers for its citizens. It
[00:00:40.780 --> 00:00:46.240]   spends over a trillion pounds delivering for its over 70 million citizens. So
[00:00:46.240 --> 00:00:56.320]   there's a lot to play for. At the incubator for AI, we deliver products that, a wide
[00:00:56.320 --> 00:01:01.060]   range of products, all the way from frontline services all the way up to the
[00:01:01.060 --> 00:01:07.180]   Prime Minister's meetings. This remit is very wide and so we've had to get quite
[00:01:07.180 --> 00:01:11.480]   good at deciding what we should build. And that is what I'm here to talk to you
[00:01:11.480 --> 00:01:20.560]   about today. I'm going to start with a post from Andrew Ng. He says, "Writing software,
[00:01:20.560 --> 00:01:35.420]   especially prototypes, is becoming cheaper." This is not just because of AI coding agents and assistance, but also because AI features in products make the previously impossible possible.
[00:01:35.420 --> 00:01:41.300]   He says, "This will lead to increased demand for people who can decide what to build." AI product
[00:01:41.300 --> 00:02:00.040]   management has a bright future. In this talk, I'm going to build on this post and I'm going to make the case for the AI product manager. I'm going to argue that AI expertise is really important for this role. I'm going to deliver three hard-worn lessons from the incubator for AI.
[00:02:00.040 --> 00:02:15.040]   So I hope that whether you're a product manager, whether you're an AI engineer, or whether you're a founder, there's going to be a lot for you to learn from these lessons and help you build great AI products.
[00:02:15.040 --> 00:02:23.040]   Before I talk about AI product management, I'm going to quickly recap product management. This is an extremely rich field, so I'm only going to skin the surface here.
[00:02:23.040 --> 00:02:35.040]   Product management can be thought of as the intercept between these three important areas. We have the business. Is your product viable? For example, is it going to be profitable?
[00:02:35.040 --> 00:02:47.040]   We have the technology. Is your product feasible? For example, do we have the right skills on the team? And we have users. Most importantly of all, is your product desirable?
[00:02:47.040 --> 00:02:57.040]   What problem are you solving for your users? A product manager sits at the intercept of these three areas and has to balance them all to find the right path forward for the product.
