
[00:00:00.000 --> 00:00:06.140]   Progress in AI can feel incremental until you step back and think in terms of weeks and months
[00:00:06.140 --> 00:00:13.680]   rather than just days. So this video won't just be about the release then of GPT 4.1 in the last
[00:00:13.680 --> 00:00:21.020]   48 hours, or Cling 2.0, or a sneak peek at the next OpenAI model O3, or even about Dolphin Gemma,
[00:00:21.020 --> 00:00:27.140]   the hopeful new language model from Google. It will be about all of this in the wider context
[00:00:27.140 --> 00:00:33.160]   and how seven such stories contextualize where we are in AI and what's happening. I want to start
[00:00:33.160 --> 00:00:37.900]   with something super practical just for those who don't care much about the incremental advance in
[00:00:37.900 --> 00:00:43.440]   intelligence and just want cool tools to use. For those people in the last few days, Cling have
[00:00:43.440 --> 00:00:50.360]   released Cling 2.0. And here is a workflow that I recommend. Generate an image with ChatGPT because
[00:00:50.360 --> 00:00:55.920]   it has incredible text fidelity. Not perfect, but really good. Now you shouldn't really explain a
[00:00:55.920 --> 00:01:00.840]   joke, but as you can tell, the background image is somewhat taking the piss out of OpenAI's model
[00:01:00.840 --> 00:01:06.740]   names. Pro tip, if you have any curse words, ChatGPT will generate that, but Cling won't work with that
[00:01:06.740 --> 00:01:12.940]   within the image. So I had to use the version without GPT WTF. Anyway, the only point I wanted to make is
[00:01:12.940 --> 00:01:18.700]   that Cling 2.0 for me is the state of the art at generating smooth, realistic scenes. Of course,
[00:01:18.780 --> 00:01:26.420]   not perfect with regard to physics. And yes, I have compared it directly to VO2 and also to Sora video
[00:01:26.420 --> 00:01:30.760]   generation. And no, I'm not going to belabor the point because it's not perfect, but sometimes
[00:01:30.760 --> 00:01:36.160]   incremental progress when you step back can add up to something quite significant. Speaking of which,
[00:01:36.160 --> 00:01:43.300]   of course, in the last 48 hours, we got GPT 4.1 from OpenAI. That's their first model that can process up to a
[00:01:43.300 --> 00:01:50.300]   million tokens, or think of that as around 750,000 words. Aside from being a bit less verbose than the
[00:01:50.300 --> 00:01:57.620]   notoriously talkative Claude 3.7 Sonnet or the famously garrulous Gemini 2.5 Pro, I don't actually
[00:01:57.620 --> 00:02:03.140]   think GPT 4.1 is that much of a step forward. So I'm not going to spend a huge amount of time on it,
[00:02:03.140 --> 00:02:09.220]   but just a few words on its background. GPT 4.1, like GPT 4.5, is not a reasoning model. It doesn't
[00:02:09.220 --> 00:02:14.360]   output those long chains of thought before giving you an answer. That then begs the question of why
[00:02:14.360 --> 00:02:21.940]   release 4.1 when we already have GPT 4.0 and GPT 4.5, which are also non-reasoning models. It seems like
[00:02:21.940 --> 00:02:29.100]   demand for GPT 4.5 wasn't as great as OpenAI hoped, and that could be because of how expensive GPT 4.5 was
[00:02:29.100 --> 00:02:36.140]   or how great Gemini 2.5 Pro is. So OpenAI wanted to release a non-reasoning model that answers more
[00:02:36.140 --> 00:02:43.140]   quickly that was better than GPT 4.0, but not as expensive as GPT 4.5. And for those of you at the
[00:02:43.140 --> 00:02:47.240]   back with your hands up, why do we even need non-reasoning models when the reasoning models do
[00:02:47.240 --> 00:02:53.360]   so well? If you can improve these, quote, base models on software engineering, then when reasoning is
[00:02:53.360 --> 00:02:58.360]   applied to those better base models, you will get a better end result. But there is a slight marketing
[00:02:58.360 --> 00:03:05.320]   problem for OpenAI. If Google can somehow serve reasoning models that perform better for a lower price
[00:03:05.320 --> 00:03:10.900]   than OpenAI can serve non-reasoning models. Take Ada's Polyglot Coding Benchmark, which is a popular
[00:03:10.900 --> 00:03:14.640]   and well-regarded benchmark. You don't have to remember any of these numbers, just focus on
[00:03:14.640 --> 00:03:20.460]   relative performance, with GPT 4.1 getting 52% at a cost of around $10. If you bear in mind those
[00:03:20.460 --> 00:03:28.720]   numbers, we can then scroll up and see Gemini 2.5 Pro getting 73% correct at a cost of $6. On my own
[00:03:28.720 --> 00:03:34.700]   benchmark, SimpleBench, you can see a clustering effect now for those base models, those non-reasoning
[00:03:34.700 --> 00:03:41.760]   models. GPT 4.1 gets 27%, which is very similar to Llama 4 Maverick, Claude 3.5 Sonnet and the new
[00:03:41.760 --> 00:03:47.780]   DeepSeek V3. Worth noting though that we could finally benchmark Grok 3 because the API was released
[00:03:47.780 --> 00:03:55.880]   and that scored 36.1% comparing directly to the original GPT 4.5 at around 34%. Now, I know you
[00:03:55.880 --> 00:04:01.480]   guys are noticing Gemini 2.5 Pro way out in the lead, but more on that in a moment. What about that 1 million
[00:04:01.480 --> 00:04:07.500]   token context window? Doesn't that really stand out? Well, yes, except Gemini 2.5 Pro also has a 1
[00:04:07.500 --> 00:04:13.620]   million token context window. And when you sprinkle in a bunch of clues across a long fiction story,
[00:04:13.620 --> 00:04:19.480]   as for this amazing benchmark, you can see which models actually pick up on those clues and utilize
[00:04:19.480 --> 00:04:24.440]   that long context the best, piecing together plot narratives across many diverse chapters.
[00:04:24.540 --> 00:04:31.080]   Well, as you can possibly see if you zoom in, Gemini 2.5 Pro can do this even across novel length,
[00:04:31.080 --> 00:04:36.860]   100,000 word length pieces of fiction. On this benchmark, GPT 4.1 falls far behind,
[00:04:36.860 --> 00:04:42.780]   as does pretty much every other model than Gemini 2.5 Pro. So when you see OpenAI tout needle in a
[00:04:42.780 --> 00:04:47.640]   haystack charts like this one, remember they're selectively picking the benchmarks that make their
[00:04:47.640 --> 00:04:53.340]   models look the best. Llama 4, you may remember, did a very similar thing. And of course, don't get any of us
[00:04:53.920 --> 00:04:59.900]   on LM arena, which can be gamed heavily and was by meta. Now you might say that's a little harsh given
[00:04:59.900 --> 00:05:06.860]   that OpenAI just open sourced a brand new benchmark, an eval on long context called OpenAI MRCR. The only
[00:05:06.860 --> 00:05:12.280]   problem is that we've already had a benchmark like that for over a year from Google. And with this
[00:05:12.280 --> 00:05:16.920]   benchmark, we could compare across model families. It turns out that if you're in the lead, you're much
