
[00:00:00.000 --> 00:00:03.200]   [MUSIC PLAYING]
[00:00:03.200 --> 00:00:06.760]   I'm excited to introduce our first speaker, Arthur
[00:00:06.760 --> 00:00:08.200]   from Mistral.
[00:00:08.200 --> 00:00:11.440]   Arthur is the founder and CEO of Mistral AI.
[00:00:11.440 --> 00:00:14.880]   Despite just being nine months old as a company
[00:00:14.880 --> 00:00:17.600]   and having many fewer resources than some
[00:00:17.600 --> 00:00:20.040]   of the large foundation model companies so far,
[00:00:20.040 --> 00:00:22.360]   I think they've really shocked everybody by putting out
[00:00:22.360 --> 00:00:26.000]   incredibly high quality models approaching GPT-4 and Calibre
[00:00:26.000 --> 00:00:26.800]   out into the open.
[00:00:26.800 --> 00:00:29.400]   So we're thrilled to have Arthur with us today,
[00:00:29.400 --> 00:00:30.880]   all the way from France, to share
[00:00:30.880 --> 00:00:35.160]   more about the opportunity behind building an open source.
[00:00:35.160 --> 00:00:38.440]   And please-- interviewing Arthur will be my partner,
[00:00:38.440 --> 00:00:41.400]   Matt Miller, who is dressed in his best French wear
[00:00:41.400 --> 00:00:46.220]   to honor Arthur today and helps lead our efforts in Europe.
[00:00:46.220 --> 00:00:48.320]   So please welcome Matt and Arthur.
[00:00:48.320 --> 00:00:53.640]   [APPLAUSE]
[00:00:53.640 --> 00:00:56.520]   With all the efficiency of a French train, right?
[00:00:56.520 --> 00:00:57.680]   Just--
[00:00:57.680 --> 00:00:58.400]   Right on time.
[00:00:58.400 --> 00:00:59.040]   Right on time.
[00:00:59.040 --> 00:01:00.720]   We were sweating a little bit back there
[00:01:00.720 --> 00:01:03.040]   because you just walked in the door.
[00:01:03.040 --> 00:01:03.840]   But good to see you.
[00:01:03.840 --> 00:01:05.360]   Thanks for coming all this way.
[00:01:05.360 --> 00:01:08.040]   Thanks for being with us here at AISN today.
[00:01:08.040 --> 00:01:09.760]   Thank you for hosting us.
[00:01:09.760 --> 00:01:11.120]   Yeah, absolutely.
[00:01:11.120 --> 00:01:13.480]   We'd love to maybe start with the background
[00:01:13.480 --> 00:01:17.480]   story of why you chose to start Mistral.
[00:01:17.480 --> 00:01:20.440]   And maybe just take us to the beginning.
[00:01:20.440 --> 00:01:22.640]   We all know about your successful career
[00:01:22.640 --> 00:01:25.920]   at DeepMind, your work on the Chinchilla paper.
[00:01:25.920 --> 00:01:27.560]   Tell us, maybe share with us-- we always
[00:01:27.560 --> 00:01:30.140]   love to hear at Sequoia, and I know that our founder community
[00:01:30.140 --> 00:01:32.160]   also loves to hear that spark that gave you
[00:01:32.160 --> 00:01:35.320]   the idea to launch and to start to break out and start
[00:01:35.320 --> 00:01:36.480]   your own company.
[00:01:36.480 --> 00:01:37.880]   Yeah, sure.
[00:01:37.880 --> 00:01:39.760]   So we started the company in April,
[00:01:39.760 --> 00:01:42.920]   but I guess the idea was out there for a couple of months
[00:01:42.920 --> 00:01:44.680]   before.
[00:01:44.680 --> 00:01:46.840]   Timothée and I were in master together.
[00:01:46.840 --> 00:01:48.480]   Guillaume and I were in school together.
[00:01:48.480 --> 00:01:50.120]   So we knew each other from before.
[00:01:50.120 --> 00:01:55.480]   And we had been in the field for 10 years doing research.
[00:01:55.480 --> 00:01:57.880]   And so we loved the way AI progressed
[00:01:57.880 --> 00:01:59.840]   because of the open exchanges that
[00:01:59.840 --> 00:02:03.960]   occurred between academic labs, industrial labs,
[00:02:03.960 --> 00:02:08.280]   and how everybody was able to build on top of one another.
[00:02:08.280 --> 00:02:11.720]   And it was still the case, I guess,
[00:02:11.720 --> 00:02:13.720]   even in the beginning of the LLM era,
[00:02:13.720 --> 00:02:19.120]   where OpenAI and DeepMind were actually
[00:02:19.120 --> 00:02:23.360]   contributing to one another roadmap.
[00:02:23.360 --> 00:02:26.000]   And this kind of stopped in 2022.
[00:02:26.000 --> 00:02:29.040]   So basically, one of the last papers
[00:02:29.040 --> 00:02:31.480]   doing important changes to the way we train models
[00:02:31.480 --> 00:02:32.360]   was Chinchilla.
[00:02:32.360 --> 00:02:35.080]   And that was the last model that Google ever
[00:02:35.080 --> 00:02:38.280]   published, last important model in the field
[00:02:38.280 --> 00:02:39.760]   that Google published.
[00:02:39.760 --> 00:02:42.560]   And so for us, it was a bit of a shame
[00:02:42.560 --> 00:02:48.120]   that the field stopped doing open contributions
[00:02:48.120 --> 00:02:50.180]   that early in the AI journey because we were very
[00:02:50.180 --> 00:02:53.160]   far away from finishing it.
[00:02:53.160 --> 00:02:56.800]   And so when we saw Chad GPT at the end of the year--
[00:02:56.800 --> 00:03:00.480]   and I think we reflected on the fact
[00:03:00.480 --> 00:03:03.160]   that there was some opportunity for doing things differently,
[00:03:03.160 --> 00:03:04.840]   for doing things from France.
[00:03:04.840 --> 00:03:07.320]   Because in France, as it turned out,
[00:03:07.320 --> 00:03:09.320]   there was a lot of talented people
[00:03:09.320 --> 00:03:12.400]   that were a bit bored in big tech companies.
[00:03:12.400 --> 00:03:14.600]   And so that's how we figured out that there
[00:03:14.600 --> 00:03:17.800]   was an opportunity for building very strong open source
[00:03:17.800 --> 00:03:22.600]   models, going very fast with a lean team of experienced people,
[00:03:22.600 --> 00:03:27.280]   and try to correct the direction that the field was taking.
[00:03:27.280 --> 00:03:31.520]   So we wanted to push the open source models much more.
[00:03:31.520 --> 00:03:33.060]   And I think we did a good job at that
[00:03:33.060 --> 00:03:36.720]   because we've been followed by various companies
[00:03:36.720 --> 00:03:38.720]   in our trajectory.
[00:03:38.720 --> 00:03:39.360]   Wonderful.
[00:03:39.360 --> 00:03:42.000]   And so it was really a lot of the open source movement
[00:03:42.000 --> 00:03:45.440]   was a lot of the drive behind starting the company.
[00:03:45.440 --> 00:03:50.480]   Yeah, that was one of the driver--
[00:03:50.480 --> 00:03:52.720]   our intention and the mission that we gave ourselves
[00:03:52.720 --> 00:03:55.800]   is really to bring AI to the hands of every developer.
[00:03:55.800 --> 00:03:57.280]   And the way it was done and the way
[00:03:57.280 --> 00:04:00.400]   it is still done by our competitors is very close.
[00:04:00.400 --> 00:04:03.120]   And so we want to push a much more open platform.
[00:04:03.120 --> 00:04:04.680]   And we want to spread the adoption
[00:04:04.680 --> 00:04:07.680]   and accelerate the adoption through that strategy.
[00:04:07.680 --> 00:04:11.760]   So that's very much at the core--
[00:04:11.760 --> 00:04:13.920]   the reason why we started the company.
[00:04:13.920 --> 00:04:14.720]   Wonderful.
[00:04:14.720 --> 00:04:18.200]   And just recently, I mean, fast forward to today,
[00:04:18.200 --> 00:04:19.520]   you released Mistral Large.
[00:04:19.520 --> 00:04:22.120]   You've been on this tear of amazing partnerships
[00:04:22.120 --> 00:04:25.120]   with Microsoft, Snowflake, Databricks, announcers.
[00:04:25.120 --> 00:04:27.540]   So how do you balance what you're
[00:04:27.540 --> 00:04:29.200]   going to do open source with what you're
[00:04:29.200 --> 00:04:30.280]   going to do commercially?
[00:04:30.280 --> 00:04:33.160]   And how you're going to think about the trade-off?
[00:04:33.160 --> 00:04:35.640]   Because that's something that many open source companies
[00:04:35.640 --> 00:04:36.560]   contend with.
[00:04:36.560 --> 00:04:38.320]   How do they keep their community thriving?
[00:04:38.320 --> 00:04:40.120]   But then how do they also build a successful business
[00:04:40.120 --> 00:04:41.840]   to contribute to their community?
[00:04:41.840 --> 00:04:43.200]   Yeah, it's a hard question.
[00:04:43.200 --> 00:04:45.040]   And the way we've addressed it is currently
[00:04:45.040 --> 00:04:46.880]   through two families of model.
[00:04:46.880 --> 00:04:49.320]   But this might evolve with time.
[00:04:49.320 --> 00:04:51.160]   We intend to stay the leader in open source.
[00:04:51.160 --> 00:04:54.320]   So that kind of puts a pressure on the open source family,
[00:04:54.320 --> 00:04:58.840]   because there's obviously some contenders out there.
[00:04:58.840 --> 00:05:02.280]   I think compared to how various software providers playing
[00:05:02.280 --> 00:05:06.200]   this strategy developed, we need to go faster.
[00:05:06.200 --> 00:05:08.240]   Because AI develops actually faster than software.
[00:05:08.240 --> 00:05:10.560]   It develops faster than databases.
[00:05:10.560 --> 00:05:12.480]   MongoDB played a very good game at that.
[00:05:12.480 --> 00:05:16.480]   And this is a good example of what we could do.
[00:05:16.480 --> 00:05:17.880]   But we need to adapt faster.
[00:05:17.880 --> 00:05:21.080]   So yeah, there's obviously this tension.
[00:05:21.080 --> 00:05:23.880]   And we are constantly thinking on how we should contribute
[00:05:23.880 --> 00:05:27.720]   to the community, but also how we should show and start
[00:05:27.720 --> 00:05:31.000]   getting some commercial adoption, enterprise deals,
[00:05:31.000 --> 00:05:31.520]   et cetera.
[00:05:31.520 --> 00:05:34.160]   And there's obviously a tension.
[00:05:34.160 --> 00:05:36.600]   And for now, I think we've done a good job at doing it.
[00:05:36.600 --> 00:05:39.960]   But it's a very dynamic thing to think through.
[00:05:39.960 --> 00:05:41.560]   So it's basically every week we think
[00:05:41.560 --> 00:05:44.720]   of what we should release next on both families.
[00:05:44.720 --> 00:05:48.600]   And you have been the fastest in developing models,
[00:05:48.600 --> 00:05:51.800]   fastest reaching different benchmarking levels,
[00:05:51.800 --> 00:05:54.560]   one of the most leanest in amount of expenditure
[00:05:54.560 --> 00:05:58.640]   to reach these benchmarks out of any of the foundational model
[00:05:58.640 --> 00:05:59.160]   companies.
[00:05:59.160 --> 00:06:01.640]   What do you think is giving you that advantage
[00:06:01.640 --> 00:06:05.040]   to move quicker than your predecessors
[00:06:05.040 --> 00:06:06.240]   and more efficiently?
[00:06:06.240 --> 00:06:12.200]   I think we like to get our hands dirty.
[00:06:12.200 --> 00:06:15.820]   Machine learning has always been about crunching numbers,
[00:06:15.820 --> 00:06:19.600]   looking at your data, doing a lot of extract, transform,
[00:06:19.600 --> 00:06:23.440]   and load, and things that are oftentimes not fascinating.
[00:06:23.440 --> 00:06:27.800]   And so we hire people that were willing to do that stuff.
[00:06:27.800 --> 00:06:32.240]   And I think that has been critical to our speed.
[00:06:32.240 --> 00:06:34.520]   And that's something that we want to keep up.
[00:06:34.520 --> 00:06:35.440]   Awesome.
[00:06:35.440 --> 00:06:37.900]   And in addition to the large model,
[00:06:37.900 --> 00:06:39.360]   you also have several small models
[00:06:39.360 --> 00:06:41.200]   that are extremely popular.
[00:06:41.200 --> 00:06:43.320]   When would you tell people that they should spend their time
[00:06:43.320 --> 00:06:44.680]   working with you on the small models?
[00:06:44.680 --> 00:06:46.520]   When would you tell them working on the large models?
[00:06:46.520 --> 00:06:48.840]   And where do you think the economic opportunity
[00:06:48.840 --> 00:06:49.840]   for Mistral lies?
[00:06:49.840 --> 00:06:53.920]   Is it in doing more of the big or doing more of the small?
[00:06:53.920 --> 00:06:56.560]   And I think this is an observation
[00:06:56.560 --> 00:06:59.640]   that every LLM provider has made,
[00:06:59.640 --> 00:07:02.800]   that one size does not fit all.
[00:07:02.800 --> 00:07:06.000]   And depending on what you want to--
[00:07:06.000 --> 00:07:07.840]   when you make an application, you typically
[00:07:07.840 --> 00:07:10.220]   have different large language model calls.
[00:07:10.220 --> 00:07:12.400]   And some should be low latency, because they don't
[00:07:12.400 --> 00:07:13.680]   require a lot of intelligence.
[00:07:13.680 --> 00:07:15.140]   But some should be higher latency
[00:07:15.140 --> 00:07:16.820]   and require more intelligence.
[00:07:16.820 --> 00:07:20.040]   And an efficient application should leverage both of them,
[00:07:20.040 --> 00:07:23.200]   potentially using the large models as an orchestrator
[00:07:23.200 --> 00:07:25.480]   for the small ones.
[00:07:25.480 --> 00:07:27.160]   And I think the challenge here is,
[00:07:27.160 --> 00:07:28.880]   how do you make sure that everything works?
[00:07:28.880 --> 00:07:31.580]   So you end up with a system that is not only a model,
[00:07:31.580 --> 00:07:33.720]   but it's really two models plus an outer loop
[00:07:33.720 --> 00:07:37.440]   of calling your model, calling systems, calling functions.
[00:07:37.440 --> 00:07:40.900]   And I think some of the developer challenges
[00:07:40.900 --> 00:07:43.580]   that we also want to address is, how do you
[00:07:43.580 --> 00:07:46.340]   make sure that this works, that you can evaluate it properly?
[00:07:46.340 --> 00:07:48.940]   How do you make sure that you can do continuous integration?
[00:07:48.940 --> 00:07:50.520]   How do you change--
[00:07:50.520 --> 00:07:52.720]   how do you move from one version to another of a model
[00:07:52.720 --> 00:07:54.820]   and make sure that your application has actually
[00:07:54.820 --> 00:07:56.860]   improved and not deteriorated?
[00:07:56.860 --> 00:08:00.140]   So all of these things are addressed by various companies.
[00:08:00.140 --> 00:08:01.900]   But these are also things that we
[00:08:01.900 --> 00:08:04.980]   think should be core to our value proposition.
[00:08:04.980 --> 00:08:07.420]   And what are some of the most exciting things
[00:08:07.420 --> 00:08:08.800]   you see being built on Mistral?
[00:08:08.800 --> 00:08:11.040]   What are the things that you get really excited about,
[00:08:11.040 --> 00:08:13.280]   that you see the community doing or customers doing?
[00:08:13.280 --> 00:08:17.000]   I think pretty much every young startup in the Bay Area
[00:08:17.000 --> 00:08:20.400]   has been using it for fine-tuning purposes,
[00:08:20.400 --> 00:08:22.720]   for fast application making.
[00:08:22.720 --> 00:08:26.240]   So really, I think part of the value of Mistral, for instance,
[00:08:26.240 --> 00:08:27.240]   is that it's very fast.
[00:08:27.240 --> 00:08:31.240]   And so you can make applications that are more involved.
