
[00:00:00.000 --> 00:00:09.340]   i guess not let me also share this on the discord how do we invite folks there's a lot of people
[00:00:09.340 --> 00:00:16.180]   registered for this one but i can share the room then let me let me do it got it okay yeah
[00:00:16.180 --> 00:00:38.240]   you can have a question you mentioned in the description of the luma please read the paper
[00:00:38.240 --> 00:00:44.480]   if you have time try to grok section 3.1 with your favorite ai teacher who's your favorite ai teacher
[00:00:44.480 --> 00:00:54.700]   oh clod opus opus interesting i never use clod for papers oh really i have it because i just have
[00:00:54.700 --> 00:01:01.900]   a max description uh subscription that's why i hate i don't know i never i think i should
[00:01:01.900 --> 00:01:17.720]   try to be described as well but i use and i just used to be found okay i think we will
[00:01:17.720 --> 00:01:23.680]   just wait one more minute and then a few minutes actually like i feel like we have a lot of people
[00:01:23.680 --> 00:01:33.900]   registered yeah unless you have a long session let me just kick off i i do have a lot okay okay i want to share
[00:01:33.900 --> 00:01:39.540]   um but we can wait one more minute one or two more minutes i'm going to start with a demo and we'll go
[00:01:39.540 --> 00:01:46.240]   into the paper i'm going quote and then at the end we have live demo where i'll take in requests from
[00:01:46.240 --> 00:01:55.680]   folks to um just you know just provide the input prompt and we'll see what happens this model is uh
[00:01:55.680 --> 00:02:04.320]   currently only trained on one epoch so we'll see wow uh michael is new to paper club so basically every
[00:02:04.320 --> 00:02:10.160]   wednesday we do a different paper um we love volunteers if you want to volunteer to share something
[00:02:10.160 --> 00:02:17.600]   um otherwise it's mostly me or eugene or someone um this paper club is kind of whatever's latest or new
[00:02:17.600 --> 00:02:23.120]   whatever gets shared uh someone will cover it and then some people are experts in domains like eugene
[00:02:23.120 --> 00:02:30.480]   is the god of rexus so he's sharing the latest state of the art of rexus stuff um this week yeah that's
[00:02:30.480 --> 00:02:36.000]   that's what he's going to talk about next week we have uh the paper how much do language models
[00:02:36.000 --> 00:02:46.400]   memorize um the week after someone has added vision towards gpt oss so i think we do that one it's
[00:02:46.400 --> 00:02:53.680]   like a rl vr uh there's also a news research technical report we can get one of them to present
[00:02:53.680 --> 00:03:00.960]   but honestly it wasn't great so i think we skip it but yeah if anyone also wants to volunteer papers
[00:03:00.960 --> 00:03:04.640]   or you know if you want someone else to share them we have active discord just
[00:03:05.840 --> 00:03:16.000]   share and then someone will do rj presents a lot too yep okay so i'm gonna just get started um i won't
[00:03:16.000 --> 00:03:24.240]   be able to look at the chat oh so let me know if the the font is too small uh and because i'm just
[00:03:24.240 --> 00:03:31.200]   doing this on my own laptop so let me know if the font is too small okay cool so what do i want to talk
[00:03:31.200 --> 00:03:38.960]   about today wait am i sharing the wrong screen wrong you're sharing your whole things okay uh i need to
[00:03:38.960 --> 00:03:49.520]   move zoom to this desktop paint perfect and now i want to share this test can you see this
[00:03:49.520 --> 00:03:59.200]   perfect okay so what is this recommended systems with generator retrieval let's start from the back what is it
[00:03:59.200 --> 00:04:07.360]   that we want to achieve here's an example of what we want to achieve whereby given this this is literally
[00:04:07.360 --> 00:04:13.040]   the input string recommend playstation products similar to this thing so what is this thing this
[00:04:13.040 --> 00:04:18.000]   this is the semantic id you see that it's in harmony format we have a semantic id start
[00:04:18.000 --> 00:04:26.720]   we have a semantic id end and then we have four levels of semantic ids one two three four how to read
[00:04:26.720 --> 00:04:33.040]   this it's hard but we have a mapping table so over here recommend playstation products similar to this
[00:04:33.040 --> 00:04:39.680]   semantic id i have no idea what this semantic id is but i have a mapping table so you can see this semantic id is
[00:04:39.680 --> 00:04:48.480]   actually logitech gaming keyboard so when i ask for playstation products it's able to say playstation
[00:04:48.480 --> 00:04:55.440]   uh gaming headset for playstation this is uh i don't think this is all this for pc so that's a little bit
[00:04:55.440 --> 00:05:04.080]   off there and this is for pc ps5 ps4 so not that's not too bad now let's try another something else a bit a
[00:05:04.080 --> 00:05:11.520]   little bit different recommend zelda products similar to this thing which is new super mario bros
[00:05:11.520 --> 00:05:18.240]   is able to respond zelda okay this is off teenage mutant ninja turtles and nintendo wii so i guess
[00:05:18.240 --> 00:05:22.880]   maybe we don't have a lot of zelda products in the catalog let's try something a little bit different
[00:05:22.880 --> 00:05:31.040]   super mario bros meets assassin's creed what happens uh we get bad man quick question what is uh what is
[00:05:31.040 --> 00:05:38.800]   this sid to what does semantic id mean what are these tokens like at a high level so semantic ids are a
[00:05:38.800 --> 00:05:46.560]   representation of the item um so here's how we try to represent the item instead of a random hash which
[00:05:46.560 --> 00:05:52.240]   is what the paper says uh we will just represent an item so imagine we try to merge something cute
[00:05:52.240 --> 00:06:01.600]   super mario bros with something about assassination well we get batman so this is an early example
[00:06:02.160 --> 00:06:09.760]   maybe let's just try you get lego batman the lego part makes it cute yeah it makes sense right cute
[00:06:09.760 --> 00:06:16.720]   let's try residence evil with donkey kong okay maybe this is a little bit off um but i don't know dog
[00:06:16.720 --> 00:06:22.240]   let's just say dog i have no idea whether this is in the training data how this would look dog and super
[00:06:22.240 --> 00:06:27.120]   mario well it's not so you can see it defaults to zelda because there's a very strong relationship
[00:06:27.120 --> 00:06:33.200]   between nintendo super mario and zelda actually sega i actually wonder if this is in the data set
[00:06:33.200 --> 00:06:40.480]   luigi dragon ball brutal legend so essentially we have recommendations we can learn the recommendations
[00:06:40.480 --> 00:06:46.480]   but now that we can use natural language to shape the recommendations by cross learning recommendation
[00:06:46.480 --> 00:06:53.760]   data with the natural language data so now that is the quick demo hopefully you are interested enough
[00:06:53.760 --> 00:07:01.440]   to pay attention to this to this um this is i'm gonna go fairly fast and i'm going to go through
[00:07:01.440 --> 00:07:06.320]   a lot we're going to go through paper we're going to go through my notes and we are going to go through
[00:07:06.320 --> 00:07:13.120]   um code so i hope you give me your attention oh vivo has a hand raised and then a quick question on
[00:07:13.120 --> 00:07:18.560]   that example so right now you're crossing stuff that should be in training data right so stuff like
[00:07:18.560 --> 00:07:25.680]   uh zelda batman assassin's creed resident evil uh this should also theoretically just work with natural
[00:07:25.680 --> 00:07:31.280]   language right so if i was to ask something like single player and something like a single player
[00:07:31.280 --> 00:07:38.160]   game or like a multiplayer game like zelda right because zelda is multiplayer or you know yeah multiplayer
[00:07:38.160 --> 00:07:42.880]   game like zelda and i would hope i get something that's like a nintendo game so like maybe like um
[00:07:43.920 --> 00:07:49.920]   mario kart is similar to zelda but multiplayer right let's try this this is the amazing spider-man
[00:07:49.920 --> 00:07:55.440]   we know this because there's a the output is the past of the this is this is the actual output which
[00:07:55.440 --> 00:08:04.000]   is in sid this this log over here is the past so this is recommend single player game similar to spider-man
[00:08:06.400 --> 00:08:14.640]   okay batman batman batman multiplayer i i don't know how this will work uh and this is a very janky
[00:08:14.640 --> 00:08:20.160]   young model well it's still batman well maybe doesn't doesn't work very well some some batman
[00:08:20.160 --> 00:08:24.960]   games are multiplayer but i mean i think the point is yours is like a toy example but yeah i just wanted
[00:08:24.960 --> 00:08:30.240]   to clarify theoretically that should work right yep theoretically it should work if we have enough training
[00:08:30.240 --> 00:08:35.920]   data that we augment well enough now i haven't done a lot of data annotation here uh but now let's jump
[00:08:35.920 --> 00:08:42.320]   into the paper so this is the paper um the blue highlights essentially mean implementation details
[00:08:42.320 --> 00:08:50.240]   the yellow highlights are interesting things green is good red is bad so most recommended systems they do
[00:08:50.240 --> 00:08:58.640]   retrieval by doing this thing which is uh we embed queries and items in the same vector space and then we
[00:08:58.640 --> 00:09:03.920]   do approximate nearest neighbors so essentially all of this is always standard approximate embed everything
[00:09:03.920 --> 00:09:11.360]   and do approximate nearest neighbors but what this purpose uh suggesting is that now we can actually
[00:09:11.360 --> 00:09:21.120]   just decode we can get a model to return the most similar products so now this is of course very expensive
[00:09:21.120 --> 00:09:28.160]   compared to um just approximate nearest neighbors which is extremely cheap but this gives us a few special
[00:09:28.160 --> 00:09:35.280]   properties whereby now we can tweak how we want the output to look like as you can see with just
[00:09:35.280 --> 00:09:41.440]   natural text and we essentially it allows us to kind of filter uh our recommendations and shape our
[00:09:41.440 --> 00:09:49.360]   recommendations so now imagine that uh if i were to chat imagine a chatbot capability right um like this
[00:09:49.360 --> 00:09:56.240]   okay let's say we have zelda and assuming it's better trained super mario bros and i want more zelda products
[00:09:56.240 --> 00:10:03.360]   similar to super mario bros uh we get one of these well only one but we'll see essentially just more
[00:10:03.360 --> 00:10:09.200]   training data needs just needs more training data and augmentation so over here now we get three zelda
[00:10:09.200 --> 00:10:13.440]   products of course the temperature here is fairly high uh essentially i'm just trying to test how this
[00:10:13.440 --> 00:10:20.000]   looks like and you can see by by suggesting the model understands the word zelda the model understands this
[00:10:20.000 --> 00:10:27.120]   product and the model understands products similar to this product but in the form of zelda
[00:10:27.120 --> 00:10:40.960]   uh yeah is this meant to be like used in real-time low latency small model situation or like
[00:10:40.960 --> 00:10:47.920]   honestly from an external perspective it just doesn't seem that like it doesn't seem super clear what's
[00:10:47.920 --> 00:10:53.680]   special about this right because if you just ask any model like yes gemini or chat gpt or anything you
[00:10:53.680 --> 00:11:01.520]   know uh recommend me multiple multiplayer games similar to zelda you should know this right yeah the
[00:11:01.520 --> 00:11:08.480]   what i think is unique about this model so imagine if you just ask a regular lm recommend me all to
[00:11:08.480 --> 00:11:12.800]   play a games unique to zelda it will recommend you games based on its memory and based on what is learned
[00:11:12.800 --> 00:11:22.400]   on the internet so what is unique here is i'm trying to join world knowledge learn on the internet and
[00:11:22.400 --> 00:11:30.000]   customer behavioral knowledge which is proprietary and seldom available on the internet so i'm trying to
[00:11:30.000 --> 00:11:37.520]   merge those together so usually when you use world knowledge there's a very strong popularity bias right
[00:11:37.520 --> 00:11:42.800]   but when you try to merge it with actual behavioral knowledge that's progressing in real time and you
[00:11:42.800 --> 00:11:49.680]   can imagine mapping it to things like this you can get that kind of data so that's the that's what i
[00:11:49.680 --> 00:11:56.400]   mean by this is a bilingual model that speaks english and customer behavior in terms of semantic ids
[00:11:56.400 --> 00:12:05.040]   very interesting and uh like more clear-cut example would be like uh uh lm would be out of date because
[00:12:05.040 --> 00:12:10.320]   there's knowledge cut off but if you have like a new song or something you know exactly yeah something
[00:12:10.320 --> 00:12:16.240]   like this is a soft course oh another henry's yeah uh so what is the world knowledge and the local
[00:12:16.240 --> 00:12:23.120]   knowledge conflict so what will happen then i don't know um yeah i don't know i i guess it really depends
[00:12:23.120 --> 00:12:28.240]   on so that's world knowledge right and then when you maybe fine-tune this on local knowledge it depends on
[00:12:28.240 --> 00:12:37.280]   how much strength you want to know local knowledge to uh update the weights okay okay so while it's oh go
[00:12:37.280 --> 00:12:43.600]   ahead from basic training principles the local knowledge should always come first right because
[00:12:43.600 --> 00:12:50.240]   let's say like you have a base model that thinks you know if someone likes zelda they like mario kart but
[00:12:50.240 --> 00:12:57.840]   if you've trained it such that people that like zelda prefer some other category of game your your model
[00:12:57.840 --> 00:13:05.840]   is trained to you know predict one after the other so the the later training often over you know has more
[00:13:05.840 --> 00:13:10.320]   impact yeah i mean so the reason why i asked is because there's a lot of abundance of evidence in
[00:13:10.320 --> 00:13:17.520]   the like base model so by just having one example does that completely override the the information it
[00:13:17.520 --> 00:13:22.160]   has learned or with so much evidence um i don't know it's a good test i guess
[00:13:24.400 --> 00:13:29.120]   yeah honestly i don't know so that that's where this is what i'm trying to explore while we're
[00:13:29.120 --> 00:13:35.840]   already 15 minutes in um barely touch anything i want to cover but i'm going to try to speed through
[00:13:35.840 --> 00:13:41.600]   this a little bit faster and i'll stop for questions maybe at a 45 minute mark so now most systems
[00:13:41.600 --> 00:13:47.760]   nowadays use this retrieve and rank strategy essentially um here's the approximate nearest index
[00:13:47.760 --> 00:13:53.040]   i was talking about over here given a request we embed it you get approximate nearest neighbors index
[00:13:53.040 --> 00:13:57.280]   and as you add features and then you try to do some ranking on top of it this could be as simple as a
[00:13:57.280 --> 00:14:02.240]   logistic regression or decision tree or two tower network or whatever a sas rack we actually look
[00:14:02.240 --> 00:14:07.760]   at a sas rack which is essentially a one or two layer auto decoder model that is trained on user
[00:14:07.760 --> 00:14:16.960]   sequences we'll look at that later um so how they are trying to do this is they have a semantic
[00:14:16.960 --> 00:14:24.320]   representation of items called a semantic id so semantic id so usually product items or any item
[00:14:24.320 --> 00:14:30.080]   you represent is usually a random hash like some random hash of numbers this semantic id and we have
[00:14:30.080 --> 00:14:36.240]   seen is a sequence of four levels of tokens so now these four levels of tokens they actually encode
[00:14:36.240 --> 00:14:42.160]   the each item's content information and and we'll see how we do that so what they do is they use a
[00:14:42.160 --> 00:14:47.360]   pre-trained text encoder to generate content embeddings and this is to encode text you can
[00:14:47.360 --> 00:14:55.840]   imagine using a clip to encode images using uh other encoders to encode audio etc then they do a
[00:14:55.840 --> 00:15:00.640]   quantization scheme so what is this quantization scheme i think this is uh very important and that's
[00:15:00.640 --> 00:15:10.160]   why i want to take extra time to go through section uh 3.1 of this so here are the benefits that they they
[00:15:10.160 --> 00:15:13.680]   expound right like training and transform on semantically meaningful data allows knowledge
[00:15:13.680 --> 00:15:19.920]   sharing across items so essentially now we don't need random ids now when we understand one item in
[00:15:19.920 --> 00:15:26.720]   one format we can now understand it uh a new item so now for a new item if we have no customer behavioral
[00:15:26.720 --> 00:15:33.280]   data so long as we have a way to get the semantic id for it and because the semantic id for it the
[00:15:33.280 --> 00:15:38.560]   assumption is that the levels of the semantic id the first level the second level the third level if it
[00:15:38.560 --> 00:15:43.440]   we'll find a similar item we can start to recommend that item as well all right so essentially
[00:15:43.440 --> 00:15:48.880]   generalized to newly added items in a corpus and the other thing is the scale of item corpus usually
[00:15:48.880 --> 00:15:53.680]   you know on e-commerce or whatever the scale of items is like millions and maybe even billions
[00:15:53.680 --> 00:15:58.240]   so when you train such a model uh your embedding table becomes very big right in order of millions
[00:15:58.240 --> 00:16:04.800]   of billions but if you use semantic ids and if a semantic id is just represented by a combination of tokens
[00:16:05.840 --> 00:16:13.120]   uh we can now have a use very few embeddings to represent a lot of tables uh and and i'll show
