
[00:00:00.000 --> 00:00:02.960]   if we impose high structural tariffs,
[00:00:02.960 --> 00:00:07.540]   and if we allow this crazy Biden-era diffusion rule
[00:00:07.540 --> 00:00:10.380]   to stay in place, which makes it hard
[00:00:10.380 --> 00:00:13.420]   for us to export our chips,
[00:00:13.420 --> 00:00:16.880]   I literally think it's unilaterally disarming America
[00:00:16.880 --> 00:00:18.520]   in the race to AI.
[00:00:18.520 --> 00:00:19.360]   - Yeah.
[00:00:19.360 --> 00:00:21.360]   - I think it's a very bad decision.
[00:00:21.360 --> 00:00:23.260]   - And positive for Huawei, right?
[00:00:23.260 --> 00:00:26.500]   - Correct, it's gonna lead to a Huawei Belt and Road.
[00:00:26.500 --> 00:00:40.620]   Bill, it's good to see you.
[00:00:40.620 --> 00:00:43.160]   - Good to see you, Brad.
[00:00:43.160 --> 00:00:47.120]   As you can see, I'm wearing the Florida Gator hat here
[00:00:47.120 --> 00:00:50.020]   as we kick off March Madness.
[00:00:50.020 --> 00:00:53.820]   I'm very fortunate that the school that I went to
[00:00:53.820 --> 00:00:56.100]   and the team that I rode the bench for
[00:00:56.100 --> 00:00:58.340]   is at the top of the heap.
[00:00:58.340 --> 00:01:02.140]   We've got, we're the fourth seed,
[00:01:02.140 --> 00:01:05.280]   according to the NCAA, but in Vegas,
[00:01:05.280 --> 00:01:08.320]   we're number one on championship odds.
[00:01:08.320 --> 00:01:13.620]   So it's an incredible team, a great young coach,
[00:01:13.620 --> 00:01:16.380]   super deep, talented all the way down,
[00:01:16.380 --> 00:01:18.520]   four bigs that are all legitimate,
[00:01:18.520 --> 00:01:21.820]   incredible guard play, unselfish.
[00:01:21.820 --> 00:01:23.500]   I give them a good shot.
[00:01:23.500 --> 00:01:26.340]   - So do you have them, do you have them winning at all?
[00:01:26.340 --> 00:01:28.300]   - In my, in my bracket, yes.
[00:01:28.300 --> 00:01:30.980]   I mean, yes, but that, that there's some bias.
[00:01:30.980 --> 00:01:32.680]   I will admit, there's some bias in there.
[00:01:32.680 --> 00:01:35.040]   - Can you tell us who else is in the championship game?
[00:01:35.040 --> 00:01:38.820]   - Hmm, I'd have to look at the bracket to make sure.
