
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:08.880]   (upbeat music)
[00:00:08.880 --> 00:00:19.240]   - Welcome back to Portfolio Rescue.
[00:00:19.240 --> 00:00:21.720]   We had a week off last week, 'cause I was on spring break,
[00:00:21.720 --> 00:00:23.500]   and so we have a ton of questions built up.
[00:00:23.500 --> 00:00:26.480]   Today's Portfolio Rescue is sponsored by Bird Dogs.
[00:00:26.480 --> 00:00:29.020]   Duncan, when I was away in my office,
[00:00:29.020 --> 00:00:31.160]   I got a new shipment of these bad boys, right?
[00:00:31.160 --> 00:00:32.000]   - Nice.
[00:00:32.000 --> 00:00:33.600]   - Now, I was in Florida for a week,
[00:00:33.600 --> 00:00:35.740]   and all I wore all week was Bird Dogs,
[00:00:35.740 --> 00:00:36.760]   because they're comfortable,
[00:00:36.760 --> 00:00:38.480]   they have this nice little side pocket,
[00:00:38.480 --> 00:00:40.700]   they have the liner in here, right?
[00:00:40.700 --> 00:00:41.540]   You tried it for the first time.
[00:00:41.540 --> 00:00:42.900]   I've been wearing these for years,
[00:00:42.900 --> 00:00:44.480]   but especially in the summer, they're great,
[00:00:44.480 --> 00:00:45.780]   because you can wear them for working out,
[00:00:45.780 --> 00:00:47.180]   you can wear them for walking,
[00:00:47.180 --> 00:00:50.080]   you can wear them in the water, it's great.
[00:00:50.080 --> 00:00:53.540]   They really are the sort of short for everything
[00:00:53.540 --> 00:00:54.660]   you can do in the summer.
[00:00:54.660 --> 00:00:56.380]   I have two main things I look for
[00:00:56.380 --> 00:00:58.020]   when I'm thinking of fashion.
[00:00:58.020 --> 00:01:00.180]   One is style, I gotta be a little stylish,
[00:01:00.180 --> 00:01:01.700]   and the other one is comfort, right?
[00:01:01.700 --> 00:01:03.060]   I've gotta be comfortable,
[00:01:03.060 --> 00:01:04.780]   and these things are very comfortable.
[00:01:04.780 --> 00:01:06.780]   You can wear them on a lot of different occasions.
[00:01:06.780 --> 00:01:08.700]   And if you go to birddogs.com,
[00:01:08.700 --> 00:01:10.980]   what's our promo code?
[00:01:10.980 --> 00:01:12.680]   Promo code Rescue. - Rescue.
[00:01:12.680 --> 00:01:15.140]   - You get a free Tumblr, right?
[00:01:15.140 --> 00:01:16.220]   Coffee, I don't drink coffee,
[00:01:16.220 --> 00:01:17.940]   but I know there's people who do.
[00:01:17.940 --> 00:01:21.020]   Get a free one for promo code Rescue.
[00:01:21.020 --> 00:01:22.980]   - Yeah, and you weren't lying about the side pocket.
[00:01:22.980 --> 00:01:25.020]   It's much more comfortable for your wallet.
[00:01:25.020 --> 00:01:27.460]   - Right, yes, and it's not gonna fall out,
[00:01:27.460 --> 00:01:28.900]   and if you're not sitting on it,
[00:01:28.900 --> 00:01:30.860]   yeah, that can lead to problems down the line.
[00:01:30.860 --> 00:01:31.940]   You get into middle age, right?
[00:01:31.940 --> 00:01:32.780]   That's tough.
[00:01:32.780 --> 00:01:34.300]   - Yeah, yeah. - All right.
[00:01:34.300 --> 00:01:36.260]   One of the features we've been talking about a lot
[00:01:36.260 --> 00:01:38.480]   on Portfolio Rescue is iBonds.
[00:01:38.480 --> 00:01:39.940]   Got a ton of questions on these.
[00:01:39.940 --> 00:01:43.100]   The rate topped out at 9.6%.
[00:01:43.100 --> 00:01:45.140]   The new rate comes every six months.
[00:01:45.140 --> 00:01:46.980]   The next one down, inflation came in a little bit,
[00:01:46.980 --> 00:01:48.360]   it was down to 6.9%.
[00:01:48.360 --> 00:01:51.680]   Now today, Bloomberg tells us 3.8%.
[00:01:51.680 --> 00:01:54.940]   So we had this huge rush into iBonds.
[00:01:54.940 --> 00:01:56.660]   Maybe it could go back up if inflation rises again,
[00:01:56.660 --> 00:01:59.460]   but it seems like the really great returns on iBonds
[00:01:59.460 --> 00:02:02.020]   and the great yields is, that time has passed.
[00:02:02.020 --> 00:02:02.860]   It's over.
[00:02:02.860 --> 00:02:07.660]   - Yeah, yeah, I went ahead and redeemed.
[00:02:07.660 --> 00:02:10.220]   I told you it felt like a Winnie the Pooh meme thing.
[00:02:10.220 --> 00:02:12.560]   It seems like it should just say withdraw,
[00:02:12.560 --> 00:02:14.700]   but instead of withdrawing your money, it's redeeming.
[00:02:14.700 --> 00:02:16.400]   So I went ahead and redeemed mine.
[00:02:16.400 --> 00:02:19.820]   Not just because I'm a great market timer
[00:02:19.820 --> 00:02:20.660]   and that kind of thing,
[00:02:20.660 --> 00:02:22.600]   but also because we just moved into a new place,
[00:02:22.600 --> 00:02:25.580]   and so there was a lot of cash needed for deposits
[00:02:25.580 --> 00:02:26.660]   and that kind of thing.
[00:02:26.660 --> 00:02:29.620]   - So using the Treasury Direct website was fine?
[00:02:29.620 --> 00:02:30.460]   It wasn't a problem?
[00:02:30.460 --> 00:02:33.220]   - It actually, yeah, it was like a couple of clicks,
[00:02:33.220 --> 00:02:34.820]   and yeah, in like two or three days,
[00:02:34.820 --> 00:02:38.740]   I saw the redemptions hitting my account.
[00:02:38.740 --> 00:02:40.220]   - I have a feeling now that rates are lower,
[00:02:40.220 --> 00:02:41.660]   we're not gonna hear anything else about these
[00:02:41.660 --> 00:02:42.620]   for a long, long time.
[00:02:42.620 --> 00:02:45.260]   - Yeah, I feel like they're probably gonna lose
[00:02:45.260 --> 00:02:46.620]   a lot of their shine now.
[00:02:46.620 --> 00:02:48.140]   - All right, let's do a question.
[00:02:48.140 --> 00:02:49.060]   - All right.
[00:02:49.060 --> 00:02:52.200]   Up first today, we have, hey, lads.
[00:02:52.200 --> 00:02:53.940]   - This has gotta be from someone either--
