
[00:00:00.000 --> 00:00:03.240]   (upbeat hip hop music)
[00:00:03.240 --> 00:00:12.720]   - Hi, welcome back to another episode of Curious Mike.
[00:00:12.720 --> 00:00:15.840]   Today I'm here with my guy, my right hand man, Nicodemus.
[00:00:15.840 --> 00:00:21.800]   My manager, my trainer, security, all that, all in one.
[00:00:21.800 --> 00:00:24.920]   So, I'm excited to have you on Curious Mike.
[00:00:24.920 --> 00:00:26.360]   It's been a long time coming.
[00:00:26.360 --> 00:00:29.840]   Yeah, so, for those of you that don't know,
[00:00:29.840 --> 00:00:33.120]   we met back in college when I went to Mizzou.
[00:00:33.120 --> 00:00:35.280]   He was my strength coach at the time.
[00:00:35.280 --> 00:00:38.040]   And we kind of developed a relationship over time there,
[00:00:38.040 --> 00:00:40.480]   but nothing to what it's like now.
[00:00:40.480 --> 00:00:43.800]   Kind of, what was your, from your perspective,
[00:00:43.800 --> 00:00:45.480]   how was it when I committed to Mizzou,
[00:00:45.480 --> 00:00:47.600]   when I came there and kind of walked through,
[00:00:47.600 --> 00:00:50.560]   like, what you remember from that time when I was in Mizzou?
[00:00:50.560 --> 00:00:53.680]   - Bro, that was a roller coaster,
[00:00:53.680 --> 00:00:57.280]   because that was our first year at Mizzou.
[00:00:57.280 --> 00:01:01.040]   We had just got there, obviously, with Coach Martin.
[00:01:01.040 --> 00:01:03.920]   There was a ton of excitement around the program.
[00:01:03.920 --> 00:01:08.160]   And then, all of a sudden, we signed Michael Porter Jr.,
[00:01:08.160 --> 00:01:12.040]   we signed Jontae Porter, we get Blake Harris,
[00:01:12.040 --> 00:01:15.080]   in addition to the guys that we already had.
[00:01:15.080 --> 00:01:18.440]   And automatically, America was on notice.
[00:01:18.440 --> 00:01:19.280]   You know what I mean?
[00:01:19.280 --> 00:01:20.640]   It was like, oh my goodness,
[00:01:20.640 --> 00:01:23.060]   you have to watch out for Mizzou next season.
[00:01:24.800 --> 00:01:29.000]   And then, I just remember, we go through that whole summer,
[00:01:29.000 --> 00:01:32.480]   and I was really surprised at the work and the effort
[00:01:32.480 --> 00:01:33.960]   and all that that you guys put in.
[00:01:33.960 --> 00:01:35.040]   Like, 'cause there's young guys,
[00:01:35.040 --> 00:01:36.600]   you see freshmen who come in,
[00:01:36.600 --> 00:01:40.880]   and some of 'em have a work ethic, some of 'em don't.
[00:01:40.880 --> 00:01:44.840]   But you, in particular, you were serious from day one,
[00:01:44.840 --> 00:01:46.360]   specifically in the weight room.
